#theta xip(0,0) xim(0,0)
2.406759999999999788e+00 4.054759999999999783e-05 2.662959999999999996e-05
3.361689999999999845e+00 3.281750000000000216e-05 -3.567969999999999993e-06
4.694980000000000153e+00 2.430659999999999866e-05 -4.741819999999999774e-07
6.556899999999999729e+00 2.322179999999999847e-05 6.139500000000000150e-08
9.157529999999999504e+00 1.584940000000000109e-05 -3.645070000000000068e-06
1.278819999999999979e+01 1.025710000000000044e-05 9.441919999999999886e-06
1.785900000000000176e+01 6.610990000000000040e-06 7.148239999999999851e-06
2.493949999999999889e+01 6.056110000000000196e-06 8.202689999999999556e-06
3.482330000000000325e+01 3.577769999999999882e-06 2.936369999999999975e-06
4.862080000000000268e+01 2.841710000000000106e-06 1.923140000000000107e-06
6.787059999999999604e+01 2.724959999999999805e-07 1.097279999999999936e-06
9.472249999999999659e+01 1.254730000000000013e-06 2.108659999999999984e-06
1.321649999999999920e+02 7.772089999999999816e-07 1.003270000000000010e-06
1.843139999999999930e+02 2.369069999999999918e-07 1.627990000000000008e-07
2.566920000000000073e+02 6.442519999999999644e-07 4.662400000000000245e-07
