#theta xip(0,0) xim(0,0)
2.406690000000000218e+00 4.185990000000000219e-05 2.751260000000000150e-05
3.361450000000000049e+00 4.395220000000000246e-05 1.001469999999999917e-05
4.694779999999999731e+00 2.705579999999999937e-05 6.990860000000000013e-06
6.556779999999999831e+00 1.828930000000000123e-05 8.075470000000000459e-06
9.157310000000000727e+00 1.499000000000000048e-05 1.524840000000000041e-06
1.278850000000000087e+01 1.440469999999999949e-05 7.730720000000000075e-06
1.785920000000000130e+01 1.090140000000000035e-05 6.182849999999999596e-06
2.493939999999999912e+01 8.197760000000000265e-06 6.466190000000000173e-06
3.482379999999999853e+01 5.091129999999999823e-06 2.511999999999999836e-06
4.862259999999999849e+01 3.347220000000000031e-06 2.291670000000000032e-06
6.787600000000000477e+01 1.560690000000000087e-06 1.771809999999999982e-06
9.473760000000000048e+01 1.634810000000000065e-06 1.661650000000000006e-06
1.321990000000000123e+02 1.408699999999999955e-06 1.813790000000000044e-06
1.843870000000000005e+02 9.950969999999999273e-07 8.599019999999999664e-07
2.568199999999999932e+02 9.197729999999999604e-07 5.423830000000000466e-07
