# alpha  AVG
8.104999999999999982e-01  1.226966319551439000e+02
8.105999999999999872e-01  1.226890775260065851e+02
8.106999999999999762e-01  1.226814895521083741e+02
8.107999999999999652e-01  1.226738669846632490e+02
8.108999999999999542e-01  1.226662119041182137e+02
8.110000000000000542e-01  1.226585243102055074e+02
8.111000000000000432e-01  1.226508042027116829e+02
8.112000000000000322e-01  1.226430515814053450e+02
8.113000000000000211e-01  1.226352664459893873e+02
8.114000000000000101e-01  1.226274487961930930e+02
8.114999999999999991e-01  1.226195986318328437e+02
8.115999999999999881e-01  1.226117159527261009e+02
8.116999999999999771e-01  1.226038007585533194e+02
8.117999999999999661e-01  1.225958530486390714e+02
8.118999999999999551e-01  1.225878728221008913e+02
8.120000000000000551e-01  1.225798600780585446e+02
8.121000000000000441e-01  1.225718148158182998e+02
8.122000000000000330e-01  1.225637370348145225e+02
8.123000000000000220e-01  1.225556267343820593e+02
8.124000000000000110e-01  1.225474839137831964e+02
8.125000000000000000e-01  1.225393085722714801e+02
8.125999999999999890e-01  1.225311007089940603e+02
8.126999999999999780e-01  1.225228603229728037e+02
8.127999999999999670e-01  1.225145874131771393e+02
8.128999999999999559e-01  1.225062819784936892e+02
8.129999999999999449e-01  1.224979440177461072e+02
8.131000000000000449e-01  1.224895735299038506e+02
8.132000000000000339e-01  1.224811705141573412e+02
8.133000000000000229e-01  1.224727349697973011e+02
8.134000000000000119e-01  1.224642668961057410e+02
8.135000000000000009e-01  1.224557662921256878e+02
8.135999999999999899e-01  1.224472331566281298e+02
8.136999999999999789e-01  1.224386674882632491e+02
8.137999999999999678e-01  1.224300692857386821e+02
8.138999999999999568e-01  1.224214385478285294e+02
8.139999999999999458e-01  1.224127752731935459e+02
8.141000000000000458e-01  1.224040794608570764e+02
8.142000000000000348e-01  1.223953511119885036e+02
8.143000000000000238e-01  1.223865902171689442e+02
8.144000000000000128e-01  1.223777967154976238e+02
8.145000000000000018e-01  1.223689705187423016e+02
8.145999999999999908e-01  1.223601115384992823e+02
8.146999999999999797e-01  1.223512196828643255e+02
8.147999999999999687e-01  1.223422948588416546e+02
8.148999999999999577e-01  1.223333369733401526e+02
8.149999999999999467e-01  1.223243459332963141e+02
8.151000000000000467e-01  1.223153216457647972e+02
8.152000000000000357e-01  1.223062640178616931e+02
8.153000000000000247e-01  1.222971729568129575e+02
8.154000000000000137e-01  1.222880483699543390e+02
8.155000000000000027e-01  1.222788901646397619e+02
8.155999999999999917e-01  1.222696982481443513e+02
8.156999999999999806e-01  1.222604725275601822e+02
8.157999999999999696e-01  1.222512129098103344e+02
8.158999999999999586e-01  1.222419193019365196e+02
8.159999999999999476e-01  1.222325916141916480e+02
8.161000000000000476e-01  1.222232297537585168e+02
8.162000000000000366e-01  1.222138336157227911e+02
8.163000000000000256e-01  1.222044030425331300e+02
8.164000000000000146e-01  1.221949378440117329e+02
8.165000000000000036e-01  1.221854378291253340e+02
8.165999999999999925e-01  1.221759028085807870e+02
8.166999999999999815e-01  1.221663325930909565e+02
8.167999999999999705e-01  1.221567269932574362e+02
8.168999999999999595e-01  1.221470858195957021e+02
8.169999999999999485e-01  1.221374088826562740e+02
8.171000000000000485e-01  1.221276959929588060e+02
8.172000000000000375e-01  1.221179469611978448e+02
8.173000000000000265e-01  1.221081615980708079e+02
8.174000000000000155e-01  1.220983397183770620e+02
8.175000000000000044e-01  1.220884811393271434e+02
8.175999999999999934e-01  1.220785856717551781e+02
8.176999999999999824e-01  1.220686531264700250e+02
8.177999999999999714e-01  1.220586833139432770e+02
8.178999999999999604e-01  1.220486760402245920e+02
8.179999999999999494e-01  1.220386311175397225e+02
8.181000000000000494e-01  1.220285484193054515e+02
8.182000000000000384e-01  1.220184279321862704e+02
8.183000000000000274e-01  1.220082696952994610e+02
8.184000000000000163e-01  1.219980737488758678e+02
8.185000000000000053e-01  1.219878401291830272e+02
8.185999999999999943e-01  1.219775688723764517e+02
8.186999999999999833e-01  1.219672600147423083e+02
8.187999999999999723e-01  1.219569135919485916e+02
8.188999999999999613e-01  1.219465296386017599e+02
8.189999999999999503e-01  1.219361081908103728e+02
8.191000000000000503e-01  1.219256492847054290e+02
8.192000000000000393e-01  1.219151529566973124e+02
8.193000000000000282e-01  1.219046192431284652e+02
8.194000000000000172e-01  1.218940481802275855e+02
8.195000000000000062e-01  1.218834398041873897e+02
8.195999999999999952e-01  1.218727941511808979e+02
8.196999999999999842e-01  1.218621112578391461e+02
8.197999999999999732e-01  1.218513911679689556e+02
8.198999999999999622e-01  1.218406339160966354e+02
8.199999999999999512e-01  1.218298394235089290e+02
8.201000000000000512e-01  1.218190074863231587e+02
8.202000000000000401e-01  1.218081378791152503e+02
8.203000000000000291e-01  1.217972303812719304e+02
8.204000000000000181e-01  1.217862847676955624e+02
8.205000000000000071e-01  1.217753007959945108e+02
8.205999999999999961e-01  1.217642782644049788e+02
8.206999999999999851e-01  1.217532169337743824e+02
8.207999999999999741e-01  1.217421165715595919e+02
8.208999999999999631e-01  1.217309769501335239e+02
8.209999999999999520e-01  1.217197978408299406e+02
8.211000000000000520e-01  1.217085790152427904e+02
8.212000000000000410e-01  1.216973202450297435e+02
8.213000000000000300e-01  1.216860213016963286e+02
8.214000000000000190e-01  1.216746819563239796e+02
8.215000000000000080e-01  1.216633019806092051e+02
8.215999999999999970e-01  1.216518811464948016e+02
8.216999999999999860e-01  1.216404192353225966e+02
8.217999999999999750e-01  1.216289160411192256e+02
8.218999999999999639e-01  1.216173714749127583e+02
8.219999999999999529e-01  1.216057856020775318e+02
8.221000000000000529e-01  1.215941585100709403e+02
8.222000000000000419e-01  1.215824902800242313e+02
8.223000000000000309e-01  1.215707809926431935e+02
8.224000000000000199e-01  1.215590307285951042e+02
8.225000000000000089e-01  1.215472395683760567e+02
8.225999999999999979e-01  1.215354075926456403e+02
8.226999999999999869e-01  1.215235348819725232e+02
8.227999999999999758e-01  1.215116215170911573e+02
8.228999999999999648e-01  1.214996675792633880e+02
8.229999999999999538e-01  1.214876731493731938e+02
8.231000000000000538e-01  1.214756383066728915e+02
8.232000000000000428e-01  1.214635631293066922e+02
8.233000000000000318e-01  1.214514476978530411e+02
8.234000000000000208e-01  1.214392920933047151e+02
8.235000000000000098e-01  1.214270963982711891e+02
8.235999999999999988e-01  1.214148606949800069e+02
8.236999999999999877e-01  1.214025850492724317e+02
8.237999999999999767e-01  1.213902694746679316e+02
8.238999999999999657e-01  1.213779139419732189e+02
8.239999999999999547e-01  1.213655184163959575e+02
8.241000000000000547e-01  1.213530828665343790e+02
8.242000000000000437e-01  1.213406072611991249e+02
8.243000000000000327e-01  1.213280915688213923e+02
8.244000000000000217e-01  1.213155357577047369e+02
8.245000000000000107e-01  1.213029397965859459e+02
8.245999999999999996e-01  1.212903036557262908e+02
8.246999999999999886e-01  1.212776273042212836e+02
8.247999999999999776e-01  1.212649107109161264e+02
8.248999999999999666e-01  1.212521538447492020e+02
8.249999999999999556e-01  1.212393566742856876e+02
8.250999999999999446e-01  1.212265191680994718e+02
8.252000000000000446e-01  1.212136412952676352e+02
8.253000000000000336e-01  1.212007230253130956e+02
8.254000000000000226e-01  1.211877643249094376e+02
8.255000000000000115e-01  1.211747651587138250e+02
8.256000000000000005e-01  1.211617255344224446e+02
8.256999999999999895e-01  1.211486455550220711e+02
8.257999999999999785e-01  1.211355253546745274e+02
8.258999999999999675e-01  1.211223650727219763e+02
8.259999999999999565e-01  1.211091648428634215e+02
8.260999999999999455e-01  1.210959248022692947e+02
8.262000000000000455e-01  1.210826450897830568e+02
8.263000000000000345e-01  1.210693258443632914e+02
8.264000000000000234e-01  1.210559672050133599e+02
8.265000000000000124e-01  1.210425693107148248e+02
8.266000000000000014e-01  1.210291323006369169e+02
8.266999999999999904e-01  1.210156563141462129e+02
8.267999999999999794e-01  1.210021414905006623e+02
8.268999999999999684e-01  1.209885879687069377e+02
8.269999999999999574e-01  1.209749958878055622e+02
8.270999999999999464e-01  1.209613653872274597e+02
8.272000000000000464e-01  1.209476966066809922e+02
8.273000000000000353e-01  1.209339896859211763e+02
8.274000000000000243e-01  1.209202447541343588e+02
8.275000000000000133e-01  1.209064618917244331e+02
8.276000000000000023e-01  1.208926410503423767e+02
8.276999999999999913e-01  1.208787821440977979e+02
8.277999999999999803e-01  1.208648850881302366e+02
8.278999999999999693e-01  1.208509497988968917e+02
8.279999999999999583e-01  1.208369761930433555e+02
8.280999999999999472e-01  1.208229641873514026e+02
8.282000000000000473e-01  1.208089136982614207e+02
8.283000000000000362e-01  1.207948246439342199e+02
8.284000000000000252e-01  1.207806969441158031e+02
8.285000000000000142e-01  1.207665305082089731e+02
8.286000000000000032e-01  1.207523252572218553e+02
8.286999999999999922e-01  1.207380811081363845e+02
8.287999999999999812e-01  1.207237979798513123e+02
8.288999999999999702e-01  1.207094757927513911e+02
8.289999999999999591e-01  1.206951144642483200e+02
8.290999999999999481e-01  1.206807139098960420e+02
8.292000000000000481e-01  1.206662740390683979e+02
8.293000000000000371e-01  1.206517948011357930e+02
8.294000000000000261e-01  1.206372763326273372e+02
8.295000000000000151e-01  1.206227190526593631e+02
8.296000000000000041e-01  1.206081234570711729e+02
8.296999999999999931e-01  1.205934900273671389e+02
8.297999999999999821e-01  1.205788192403190635e+02
8.298999999999999710e-01  1.205641115729249577e+02
8.299999999999999600e-01  1.205493675021138955e+02
8.300999999999999490e-01  1.205345875045868951e+02
8.302000000000000490e-01  1.205197720537216242e+02
8.303000000000000380e-01  1.205049216064528110e+02
8.304000000000000270e-01  1.204900366368055700e+02
8.305000000000000160e-01  1.204751176221964499e+02
8.306000000000000050e-01  1.204601650398820141e+02
8.306999999999999940e-01  1.204451793672317024e+02
8.307999999999999829e-01  1.204301610818371984e+02
8.308999999999999719e-01  1.204151106611904822e+02
8.309999999999999609e-01  1.204000285882828791e+02
8.310999999999999499e-01  1.203849153701805079e+02
8.312000000000000499e-01  1.203697714158988958e+02
8.313000000000000389e-01  1.203545967084047987e+02
8.314000000000000279e-01  1.203393909656640801e+02
8.315000000000000169e-01  1.203241538523690224e+02
8.316000000000000059e-01  1.203088850367776388e+02
8.316999999999999948e-01  1.202935842013969250e+02
8.317999999999999838e-01  1.202782510216649854e+02
8.318999999999999728e-01  1.202628851680933622e+02
8.319999999999999618e-01  1.202474863117558073e+02
8.320999999999999508e-01  1.202320541237367593e+02
8.322000000000000508e-01  1.202165882744065613e+02
8.323000000000000398e-01  1.202010884336245624e+02
8.324000000000000288e-01  1.201855542716260601e+02
8.325000000000000178e-01  1.201699854595515120e+02
8.326000000000000068e-01  1.201543816692443158e+02
8.326999999999999957e-01  1.201387425727082814e+02
8.327999999999999847e-01  1.201230678414309665e+02
8.328999999999999737e-01  1.201073571445658388e+02
8.329999999999999627e-01  1.200916101565601082e+02
8.330999999999999517e-01  1.200758266457131214e+02
8.332000000000000517e-01  1.200600067486219018e+02
8.333000000000000407e-01  1.200441508039625234e+02
8.334000000000000297e-01  1.200282591706407658e+02
8.335000000000000187e-01  1.200123322025043251e+02
8.336000000000000076e-01  1.199963702525618032e+02
8.336999999999999966e-01  1.199803736738295044e+02
8.337999999999999856e-01  1.199643428204180680e+02
8.338999999999999746e-01  1.199482780469957248e+02
8.339999999999999636e-01  1.199321797075112954e+02
8.340999999999999526e-01  1.199160481554623630e+02
8.342000000000000526e-01  1.198998837450072870e+02
8.343000000000000416e-01  1.198836868309754067e+02
8.344000000000000306e-01  1.198674577680931179e+02
8.345000000000000195e-01  1.198511969062943763e+02
8.346000000000000085e-01  1.198349045869338738e+02
8.346999999999999975e-01  1.198185811648412198e+02
8.347999999999999865e-01  1.198022270008188457e+02
8.348999999999999755e-01  1.197858424369437671e+02
8.349999999999999645e-01  1.197694276935192335e+02
8.350999999999999535e-01  1.197529826568553517e+02
8.352000000000000535e-01  1.197365070420693058e+02
8.353000000000000425e-01  1.197200005664388982e+02
8.354000000000000314e-01  1.197034629587544572e+02
8.355000000000000204e-01  1.196868939473955322e+02
8.356000000000000094e-01  1.196702932616341002e+02
8.356999999999999984e-01  1.196536606322497107e+02
8.357999999999999874e-01  1.196369957904171599e+02
8.358999999999999764e-01  1.196202984678003247e+02
8.359999999999999654e-01  1.196035684052383772e+02
8.360999999999999543e-01  1.195868053348870887e+02
8.362000000000000544e-01  1.195700089873124483e+02
8.363000000000000433e-01  1.195531790931066070e+02
8.364000000000000323e-01  1.195363153827709226e+02
8.365000000000000213e-01  1.195194175875518141e+02
8.366000000000000103e-01  1.195024854386768993e+02
8.366999999999999993e-01  1.194855186606451269e+02
8.367999999999999883e-01  1.194685169851833990e+02
8.368999999999999773e-01  1.194514802246998926e+02
