# ell, DTT, DTE, DEE
# from class within cobaya (https://cobaya.readthedocs.io/en/latest/) to compare to their plik-lite values
2.000000000000000000e+00 1.073277139459434466e+03 3.239968909520973828e+00 4.580680656571062270e-02
3.000000000000000000e+00 1.014071621111619265e+03 3.942317917867736998e+00 7.165919711497183153e-02
4.000000000000000000e+00 9.561527922977554681e+02 3.956775262967143103e+00 7.680264725943143633e-02
5.000000000000000000e+00 9.110632298955476926e+02 3.600170059058342975e+00 6.455273581034789987e-02
6.000000000000000000e+00 8.786355103913534776e+02 3.079574971813221484e+00 4.486985165158119404e-02
7.000000000000000000e+00 8.567189529696939871e+02 2.530665219622516560e+00 2.690014212994912626e-02
8.000000000000000000e+00 8.426861984675545045e+02 2.031122718538735494e+00 1.510632849953430501e-02
9.000000000000000000e+00 8.348247966007986633e+02 1.622112370988457508e+00 9.435103562657781717e-03
1.000000000000000000e+01 8.315998287648027372e+02 1.320766283982219180e+00 7.514649349301943254e-03
1.100000000000000000e+01 8.319995544752005117e+02 1.126769320023351728e+00 6.905866436598956729e-03
1.200000000000000000e+01 8.354686599197810892e+02 1.026993725523164702e+00 6.281519789171745478e-03
1.300000000000000000e+01 8.409723342246392122e+02 1.000737432632029966e+00 5.443038278560970167e-03
1.400000000000000000e+01 8.479155264066597510e+02 1.025393336265101984e+00 4.725712828274004039e-03
1.500000000000000000e+01 8.563610325946846160e+02 1.080607961221639934e+00 4.417341273120424690e-03
1.600000000000000000e+01 8.663121434673395242e+02 1.149038123071364659e+00 4.521497163079875314e-03
1.700000000000000000e+01 8.767811839954881634e+02 1.218433429620140007e+00 4.846009260409130971e-03
1.800000000000000000e+01 8.881159128289718865e+02 1.282106875188811612e+00 5.194597473953153216e-03
1.900000000000000000e+01 9.003988589607212134e+02 1.338595712510668889e+00 5.553007696608050318e-03
2.000000000000000000e+01 9.130618322370951319e+02 1.388269747383063413e+00 5.977464433273165650e-03
2.100000000000000000e+01 9.262144012893809304e+02 1.433877380682741842e+00 6.567439719637339739e-03
2.200000000000000000e+01 9.399296887077326801e+02 1.479344314974022634e+00 7.429349183883268010e-03
2.300000000000000000e+01 9.540994571948796192e+02 1.527383331147501355e+00 8.559747265301250949e-03
2.400000000000000000e+01 9.684354124667974020e+02 1.580055248092105513e+00 9.911048090162981675e-03
2.500000000000000000e+01 9.831018455517993289e+02 1.637291433304632893e+00 1.145576992411303889e-02
2.600000000000000000e+01 9.982577305248209996e+02 1.697719319615482947e+00 1.317180046322263647e-02
2.700000000000000000e+01 1.013777675507681124e+03 1.758572729697476245e+00 1.506398007234117584e-02
2.800000000000000000e+01 1.029394003363454885e+03 1.816307933353224824e+00 1.714206744594070145e-02
2.900000000000000000e+01 1.045171591487438945e+03 1.868324891619432382e+00 1.939937601687026850e-02
3.000000000000000000e+01 1.061205068567982607e+03 1.911909790316358437e+00 2.182025443278588772e-02
3.100000000000000000e+01 1.077510972559534594e+03 1.944347862217207457e+00 2.439088669924899602e-02
3.200000000000000000e+01 1.094106765709437923e+03 1.964913958894658474e+00 2.712686695543387039e-02
3.300000000000000000e+01 1.110941061725755162e+03 1.973642353641239078e+00 3.005639547418987451e-02
3.400000000000000000e+01 1.127916548112761348e+03 1.970897343374387267e+00 3.320891637099723792e-02
3.500000000000000000e+01 1.145080330704342941e+03 1.957589086831948100e+00 3.659882934081586103e-02
3.600000000000000000e+01 1.162487901721818844e+03 1.935078673987269404e+00 4.023624645437649805e-02
3.700000000000000000e+01 1.180154860002566693e+03 1.904736042854882738e+00 4.413011886891874541e-02
3.800000000000000000e+01 1.198083233309899697e+03 1.866521261809446663e+00 4.828430955165386590e-02
3.900000000000000000e+01 1.216234731490700597e+03 1.819943299464152009e+00 5.270008472235008373e-02
4.000000000000000000e+01 1.234517122966181887e+03 1.764430871811733859e+00 5.737701802749990698e-02
4.100000000000000000e+01 1.252827237902505658e+03 1.699294779543679246e+00 6.231435395207617078e-02
4.200000000000000000e+01 1.271209157836001168e+03 1.623617200733287191e+00 6.751590789455652608e-02
4.300000000000000000e+01 1.289738879446280862e+03 1.536314437909806152e+00 7.298656795555662213e-02
4.400000000000000000e+01 1.308478829007365675e+03 1.436155369843013396e+00 7.873094140856222445e-02
4.500000000000000000e+01 1.327472353608663980e+03 1.322036459736420255e+00 8.475314553313728627e-02
4.600000000000000000e+01 1.346729544157885584e+03 1.193926308803749503e+00 9.105613660887612593e-02
4.700000000000000000e+01 1.366234060502136572e+03 1.052187976630073907e+00 9.764215789396873957e-02
4.800000000000000000e+01 1.385944452692754112e+03 8.973264271495730027e-01 1.045128943604646671e-01
4.900000000000000000e+01 1.405792118782423358e+03 7.299957736112180351e-01 1.116694482252973825e-01
5.000000000000000000e+01 1.425708086465510632e+03 5.508319305205554572e-01 1.191126972181414112e-01
5.100000000000000000e+01 1.445716666034670425e+03 3.598802097660392385e-01 1.268445407987226492e-01
5.200000000000000000e+01 1.465863688387773891e+03 1.570248752990009433e-01 1.348669499149851847e-01
5.300000000000000000e+01 1.486189233484606575e+03 -5.785079165386080441e-02 1.431816075268162736e-01
5.400000000000000000e+01 1.506726944560136872e+03 -2.848654637670952061e-01 1.517899021482161381e-01
5.500000000000000000e+01 1.527502116009463407e+03 -5.241525482894309196e-01 1.606925423822789800e-01
5.600000000000000000e+01 1.548526971866058602e+03 -7.759000221991735335e-01 1.698883031851616821e-01
5.700000000000000000e+01 1.569803013186840644e+03 -1.040322194048701965e+00 1.793749568357719815e-01
5.800000000000000000e+01 1.591321424016174888e+03 -1.317650161621960692e+00 1.891496038927786560e-01
5.900000000000000000e+01 1.613062337820116454e+03 -1.608133243221323117e+00 1.992086519702668812e-01
6.000000000000000000e+01 1.634994103920651241e+03 -1.912040408954450266e+00 2.095477945133935593e-01
6.100000000000000000e+01 1.657085532175786739e+03 -2.229605182022140752e+00 2.201626313327764428e-01
6.200000000000000000e+01 1.679347498281389107e+03 -2.560842652467418823e+00 2.310507409865089623e-01
6.300000000000000000e+01 1.701799418000957758e+03 -2.905693743118819228e+00 2.422100380205287340e-01
6.400000000000000000e+01 1.724456777586963653e+03 -3.264077760019669761e+00 2.536381714124728015e-01
6.500000000000000000e+01 1.747330812005018970e+03 -3.635892030060829505e+00 2.653325237098523304e-01
6.600000000000000000e+01 1.770428183158046068e+03 -4.021011538613435299e+00 2.772902101682274134e-01
6.700000000000000000e+01 1.793750658110443737e+03 -4.419288567161637538e+00 2.895080778893819318e-01
6.800000000000000000e+01 1.817298185180982728e+03 -4.830543420385523312e+00 3.019820065710755452e-01
6.900000000000000000e+01 1.841079565271662204e+03 -5.254535235544430805e+00 3.147046481532643769e-01
7.000000000000000000e+01 1.865103374714034544e+03 -5.690984580158146677e+00 3.276672255121207966e-01
7.100000000000000000e+01 1.889374528056191139e+03 -6.139581259542746139e+00 3.408601719364419691e-01
7.200000000000000000e+01 1.913894043188947990e+03 -6.599983726552036245e+00 3.542731124042280411e-01
7.300000000000000000e+01 1.938658806472026299e+03 -7.071818491318989430e+00 3.678948448592606613e-01
7.400000000000000000e+01 1.963661337860232152e+03 -7.554679530997199244e+00 3.817133214876808345e-01
7.500000000000000000e+01 1.988889556029644609e+03 -8.048127699502311216e+00 3.957156299945678302e-01
7.600000000000000000e+01 2.014331736267814676e+03 -8.551753538587197667e+00 4.098890025972799500e-01
7.700000000000000000e+01 2.039992947105500207e+03 -9.065380239233805426e+00 4.242240968137466206e-01
7.800000000000000000e+01 2.065881198191189014e+03 -9.588896790822573735e+00 4.387122817046229528e-01
7.900000000000000000e+01 2.092002387114368503e+03 -1.012219856154336384e+01 4.533446655439167250e-01
8.000000000000000000e+01 2.118360171013537183e+03 -1.066518800823261870e+01 4.681120981697320937e-01
8.100000000000000000e+01 2.144955838184222102e+03 -1.121777538621047654e+01 4.830051733350119170e-01
8.200000000000000000e+01 2.171788179686994226e+03 -1.177987945911794121e+01 4.980142310582805210e-01
8.300000000000000000e+01 2.198853360955478365e+03 -1.235142820875401526e+01 5.131293599743875777e-01
8.400000000000000000e+01 2.226147290029531632e+03 -1.293229123321294338e+01 5.283400587399840198e-01
8.500000000000000000e+01 2.253673454586385560e+03 -1.352206250986930591e+01 5.436341506065114348e-01
8.600000000000000000e+01 2.281436154763608556e+03 -1.412024275310511001e+01 5.589986923797439777e-01
