logk z300 z275 z250 z225 z200 z175 z150 z125 z100 z075 z050 z0375 z025 z0125 z000
-3.3010299956639813 1.1963440286545882e-35 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-3.191599403766738 -1.1268001817038465e-19 0.0 0.0 0.0 0.0 0.0 -5.63400090851923e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-3.0821688118694945 -9.66473071676741e-20 0.0 0.0 0.0 0.0 0.0 -4.8323653583837e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-2.9727382199722507 4.8098133008132466e-20 0.0 0.0 0.0 0.0 0.0 2.4049066504066305e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-2.8633076280750074 3.21556302357034e-19 0.0 0.0 0.0 0.0 0.0 1.6077815117851697e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-2.753877036177764 3.30727561744186e-19 0.0 0.0 0.0 0.0 0.0 1.6536378087209293e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-2.6444464442805207 -5.528757080105418e-19 0.0 0.0 0.0 0.0 0.0 -2.7643785400527072e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-2.5350158523832773 -2.337468081976935e-18 0.0 0.0 0.0 0.0 0.0 -1.1687340409884673e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-2.425585260486034 -5.023049560154995e-18 0.0 0.0 0.0 0.0 0.0 -2.5115247800774967e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-2.3161546685887906 -8.60962014254472e-18 0.0 0.0 0.0 0.0 0.0 -4.304810071272359e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-2.206724076691547 -1.309717982914613e-17 0.0 0.0 0.0 0.0 0.0 -6.548589914573063e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-2.097293484794304 -1.8485728619959168e-17 0.0 0.0 0.0 0.0 0.0 -9.242864309979581e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-1.98786289289706 -2.4775266514983923e-17 0.0 0.0 0.0 0.0 0.0 -1.2387633257491958e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-1.8784323009998167 -3.1965793514220314e-17 0.0 0.0 0.0 0.0 0.0 -1.5982896757110154e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-1.7690017091025734 -4.0057309617668376e-17 0.0 0.0 0.0 0.0 0.0 -2.0028654808834182e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-1.6595711172053298 -4.904981482532812e-17 0.0 0.0 0.0 0.0 0.0 -2.4524907412664053e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-1.5501405253080864 -5.894330913719952e-17 0.0 0.0 0.0 0.0 0.0 -2.9471654568599746e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-1.440709933410843 -6.973779255328259e-17 0.0 0.0 0.0 0.0 0.0 -3.486889627664129e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-1.3312793415135995 -8.143326507357733e-17 0.0 0.0 0.0 0.0 0.0 -4.071663253678865e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-1.2218487496163564 -9.40297266980837e-17 0.0 0.0 0.0 0.0 0.0 -4.701486334904184e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-1.2018201321381388 -9.643274665532873e-17 0.0 0.0 0.0 0.0 0.0 -4.8216373327664354e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-0.900790122650135 -0.004643719462028829 -0.0046548527066919265 -0.004677749016322085 -0.004715002337641712 -0.004771619303536902 -0.0048519468342920645 -0.004959264078427268 -0.005095079802905612 -0.005250934411362252 -0.005410141790723552 -0.005561241244619293 -0.005621955668411527 -0.005675021802138258 -0.005720499378163085 -0.0057517710736500775
-0.7246988751144725 -0.0070815768505238744 -0.007107858709968625 -0.007168012685739594 -0.007273988689607648 -0.007439377094231627 -0.007674538510895452 -0.007984588149064512 -0.008357543797344926 -0.00876963987613135 -0.009179216686343278 -0.009500085022265958 -0.009597415078443932 -0.009654758079789634 -0.009693413031380552 -0.009686739800661835
-0.5997601442661822 -0.008430278722693323 -0.00850819123471425 -0.008655390645221075 -0.008881003465551108 -0.009212602096174267 -0.009657595083112112 -0.010223337362774792 -0.010871646210704414 -0.01155268405657665 -0.012165741814757876 -0.012590608280325138 -0.012679436245912253 -0.012708999502159736 -0.012676507918124467 -0.012576287253500882
-0.5028501208901087 -0.009729622475265782 -0.009879380058087887 -0.0101407790687023 -0.01053609689735456 -0.011113712111325058 -0.011888742514857182 -0.01287421620701692 -0.01403491057967335 -0.015268248118817966 -0.01640307831938059 -0.01725806270091428 -0.01750016628248847 -0.017596993271663575 -0.017535691370936343 -0.01732827346692993
