logk z350 z349 z328 z308 z290 z273 z244 z210 z200 z182 z174 z160 z141 z121 z104 z100 z079 z070 z060 z040 z035 z020 z000
-3.3010299956639813 0.0 1.6442427129076298e-24 0.0 -1.6442427129076298e-24 1.6442427129076298e-24 0.0 1.6442427129076298e-24 1.6442427129076298e-24 0.0 1.6442427129076298e-24 0.0 2.4663640693614446e-24 0.0 2.0553033911345373e-25 -4.1106067822690746e-25 0.0 -1.6442427129076298e-24 -6.576970851630519e-24 -3.2884854258152597e-24 -6.576970851630519e-24 -6.576970851630519e-24 -6.576970851630519e-24 -2.6307883406522077e-23
-3.164079469804615 -4.596695189743727e-08 -4.599455876575357e-08 -4.652013441781093e-08 -4.749093297856518e-08 -4.835873376428949e-08 -4.8801483311852285e-08 -4.937347702797435e-08 -4.830497936959461e-08 -4.712211996676863e-08 -4.4135188631468275e-08 -4.1883949464173175e-08 -3.684556688400849e-08 -2.6061606662054986e-08 -6.460506851595135e-09 1.5812757381014656e-08 2.1679230179810228e-08 6.050971097523771e-08 8.199349294089637e-08 1.1062356106641082e-07 1.8423699163902352e-07 2.074196354610189e-07 2.874100366047538e-07 4.1189688728153476e-07
-3.0271289439452485 -1.5200376535156678e-08 -1.5209505589314987e-08 -1.5383303230429146e-08 -1.5704327423988405e-08 -1.5991292257548548e-08 -1.6137700917595006e-08 -1.6326848109259987e-08 -1.597351672521382e-08 -1.5582368137610652e-08 -1.4594648066840534e-08 -1.3850207080413355e-08 -1.2184112001549827e-08 -8.618066198043231e-09 -2.1363639027298783e-09 5.228971170131058e-09 7.168899570733116e-09 2.000938397893627e-08 2.7113652628418504e-08 3.658105905349556e-08 6.092358812187855e-08 6.85896373296007e-08 9.504090647826899e-08 1.3620628564426035e-07
-2.890178418085882 9.229972608684184e-08 9.235515952931576e-08 9.341049356214542e-08 9.535981666373038e-08 9.710232452022286e-08 9.799134718277188e-08 9.913988675614312e-08 9.69943879331424e-08 9.461925548747399e-08 8.862162169388328e-08 8.41012271512795e-08 7.398436464737601e-08 5.233062139203528e-08 1.2972428846595773e-08 -3.1751358632650793e-08 -4.353099182723136e-08 -1.2150098098890433e-07 -1.6463952093743368e-07 -2.2212750603874577e-07 -3.699402105514352e-07 -4.1648999439425474e-07 -5.771073903794548e-07 -8.270718049118231e-07
-2.7532278922265156 1.249039682282497e-07 1.2497898315224881e-07 1.2640710665916714e-07 1.2904501471230569e-07 1.3140305146032416e-07 1.3260611525157245e-07 1.3416036851388747e-07 1.312569870177204e-07 1.2804285540423613e-07 1.1992659880674098e-07 1.1380940604500605e-07 1.001188315836235e-07 7.081605275367273e-08 1.7554849935025088e-08 -4.296730724991552e-08 -5.8908014689198765e-08 -1.6442036517920664e-07 -2.2279729706819875e-07 -3.0059251671862856e-07 -5.006190404248196e-07 -5.636122146046105e-07 -7.809665988003362e-07 -1.1192292200953187e-06
-2.6162773663671492 -3.5252668332505067e-07 -3.5273840407926217e-07 -3.567691138350361e-07 -3.6421429744353454e-07 -3.708695773816265e-07 -3.742650826980166e-07 -3.7865177877647675e-07 -3.704573277611114e-07 -3.6138582127861774e-07 -3.384786465914092e-07 -3.2121359323767105e-07 -2.8257356541352433e-07 -1.9986993654039745e-07 -4.954648848749467e-08 1.2127014482471248e-07 1.6626090695291292e-07 4.6405704182110866e-07 6.288190303586698e-07 8.483868403404447e-07 1.412938055001011e-06 1.5907288416406978e-06 2.2041858939151005e-06 3.1588921508055644e-06
-2.4793268405077824 8.360647182439669e-07 8.3656684265352e-07 8.461262161015064e-07 8.637834761908779e-07 8.795673728701119e-07 8.876202730615729e-07 8.980239162305588e-07 8.785896671271846e-07 8.570753623381161e-07 8.027478987544104e-07 7.618014891620601e-07 6.701614360715354e-07 4.740185923032863e-07 1.1750619994651498e-07 -2.8760855350853244e-07 -3.943102321091613e-07 -1.1005740509053937e-06 -1.4913293952234196e-06 -2.0120641590614013e-06 -3.3509737354019314e-06 -3.7726286369153675e-06 -5.22752502299023e-06 -7.491740060967635e-06
-2.342376314648416 6.255951436081335e-06 6.259708640341349e-06 6.331237763320701e-06 6.463360264369873e-06 6.581465105948176e-06 6.641721867677346e-06 6.71956833697962e-06 6.574149309080948e-06 6.413166022734221e-06 6.006654461596959e-06 5.700268192326247e-06 5.014560843093328e-06 3.5468992155026824e-06 8.792537996913202e-07 -2.1520644324402003e-06 -2.9504721452736328e-06 -8.235173263544344e-06 -1.1159045547710607e-05 -1.5055503946878565e-05 -2.507405048294516e-05 -2.822913229550406e-05 -3.911556361738966e-05 -5.6057815825069056e-05
-2.2054257887890496 1.5910778851887025e-05 1.5920334560030423e-05 1.6102254779332315e-05 1.6438282307203975e-05 1.6738658682386742e-05 1.6891909873672233e-05 1.7089897017614096e-05 1.6720052395674146e-05 1.6310623151524327e-05 1.5276741156743085e-05 1.4497508097882487e-05 1.2753546671354433e-05 9.020838733227827e-06 2.236208657388958e-06 -5.473351513261751e-06 -7.5039440909577926e-06 -2.0944539282629317e-05 -2.8380831872149723e-05 -3.829070545863213e-05 -6.377090299234936e-05 -7.179523142458543e-05 -9.948272277078998e-05 -0.0001425720003784394
-2.068475262929683 2.980054696566104e-05 2.981844460172074e-05 3.0159177264136343e-05 3.0788549604693195e-05 3.1351148102185814e-05 3.163818429104625e-05 3.200900995813398e-05 3.1316298926906784e-05 3.054944674870843e-05 2.8613007984192794e-05 2.7153521205830783e-05 2.3887118920854857e-05 1.6895837145478725e-05 4.18837077303943e-06 -1.0251469795973183e-05 -1.4054726069161645e-05 -3.922867210816032e-05 -5.3156688368540775e-05 -7.171766869432211e-05 -0.00011944153126361455 -0.0001344709260241595 -0.0001863290024831912 -0.0002670342937210787
-1.9315247370703168 4.792525577740339e-05 4.795403876541231e-05 4.85020052177328e-05 4.951416215683752e-05 5.041893336534539e-05 5.0880545119799385e-05 5.1476907158539286e-05 5.036288890277886e-05 4.912963681428655e-05 4.601545494394608e-05 4.366830751617114e-05 3.841527759159459e-05 2.7171894452255373e-05 6.735740146642736e-06 -1.64864192805745e-05 -2.260281807988519e-05 -6.308757174013734e-05 -8.548661503688378e-05 -0.0001153363936539485 -0.00019208593529674073 -0.00021625621609422626 -0.0002996544027545934 -0.0004294446958529869
-1.7945742112109502 7.028490528711408e-05 7.032711705110514e-05 7.113073864012169e-05 7.261511996363697e-05 7.39420144718655e-05 7.461899235993166e-05 7.549358861883003e-05 7.385982232329039e-05 7.205119334825869e-05 6.748408203600297e-05 6.404186702890357e-05 5.633802268357366e-05 3.984901065355778e-05 9.878316778198876e-06 -2.4178199967065707e-05 -3.314822012312843e-05 -9.252123817856043e-05 -0.00012537061187717873 -0.00016914688033751137 -0.00028170411509172795 -0.0003171511016347859 -0.00043945892358499656 -0.0006298032067741643
