logk z350 z325 z280 z245 z210 z200 z180 z170 z160 z140 z120 z110 z100 z080 z070 z060 z040 z035 z020 z00625 z000
-3.3010299956639813 -6.165910173403611e-25 -2.0553033911345373e-25 -8.221213564538149e-25 -4.1106067822690746e-25 -8.221213564538149e-25 0.0 -8.221213564538149e-25 4.1106067822690746e-25 -4.1106067822690746e-25 -8.221213564538149e-25 0.0 0.0 0.0 0.0 0.0 0.0 -1.6442427129076298e-24 -8.221213564538149e-25 -1.6442427129076298e-24 0.0 0.0
-3.167794263188073 7.776460479386642e-09 8.391665261059028e-09 1.0726555271489953e-08 1.2504742150941958e-08 1.482464432727544e-08 1.522197198572082e-08 1.6427728438793576e-08 1.7001932855047918e-08 1.7820083646389295e-08 1.8765087633727616e-08 1.9487730325583665e-08 2.0018234208534465e-08 2.057551895828701e-08 2.1610238415095328e-08 2.2474399408895922e-08 2.3465388275468154e-08 2.7855150232181454e-08 3.069875090768365e-08 4.914102540146442e-08 7.199853606838256e-08 8.057136501663282e-08
-3.034558530712165 3.203244773721477e-09 3.4566571721878724e-09 4.418434608458888e-09 5.1508973842169916e-09 6.106501098989736e-09 6.270166528621099e-09 6.766836326779823e-09 7.003360038343721e-09 7.34036904821746e-09 7.729630858473098e-09 8.027298599740708e-09 8.245821383339443e-09 8.475375621652798e-09 8.90159262630099e-09 9.257553952714617e-09 9.665757648480597e-09 1.1473968734101952e-08 1.2645291989263883e-08 2.0241951104851586e-08 2.9657314531203544e-08 3.318859583807602e-08
-2.9013227982362566 -1.3719647116995534e-08 -1.4805024266613504e-08 -1.892436198909324e-08 -2.2061534300174953e-08 -2.615442968485719e-08 -2.685541637129925e-08 -2.8982676336041335e-08 -2.999571845011268e-08 -3.143914379451559e-08 -3.3106370325763655e-08 -3.438129517752897e-08 -3.5317238475585165e-08 -3.630043000990275e-08 -3.812593736638313e-08 -3.9650536368544e-08 -4.1398891880962785e-08 -4.9143544494238656e-08 -5.4160376755259466e-08 -8.669722288983872e-08 -1.2702366461153742e-07 -1.4214830753567074e-07
-2.7680870657603487 -2.4554762303231996e-08 -2.649731794558623e-08 -3.386990980306381e-08 -3.948466940628032e-08 -4.6809936043668585e-08 -4.806452818561899e-08 -5.187179540947615e-08 -5.3684889296079905e-08 -5.626826231814317e-08 -5.925218390383212e-08 -6.153398287596459e-08 -6.320908902243417e-08 -6.496875778197621e-08 -6.823596275007263e-08 -7.096461646737049e-08 -7.409373878829429e-08 -8.795474428052142e-08 -9.693362855021602e-08 -1.551665055417625e-07 -2.273408247911846e-07 -2.544101807852826e-07
-2.6348513332844403 4.358017037191157e-08 4.7027848048659946e-08 6.01128376430878e-08 7.007799947539337e-08 8.307899554021952e-08 8.53056649992133e-08 9.206286151441856e-08 9.52807684728607e-08 9.9865778706126e-08 1.0516168870007581e-07 1.0921146066414396e-07 1.1218446485586334e-07 1.153075520758475e-07 1.2110623778052872e-07 1.2594909442956821e-07 1.3150270892505287e-07 1.5610343498452491e-07 1.7203929709512915e-07 2.7539190418610167e-07 4.034879977472497e-07 4.5153110773595634e-07
-2.501615600808532 -6.03108444447953e-08 -6.508210509576746e-08 -8.319049625754089e-08 -9.698134012084879e-08 -1.1497349216159662e-07 -1.1805499262901803e-07 -1.2740631513266116e-07 -1.3185959478604935e-07 -1.3820481639937493e-07 -1.4553385621525878e-07 -1.5113835855835262e-07 -1.552527158867048e-07 -1.5957477396735408e-07 -1.6759960793506825e-07 -1.7430166466261415e-07 -1.8198734319679926e-07 -2.1603242723249903e-07 -2.3808615700556603e-07 -3.811164149424462e-07 -5.583893238554335e-07 -6.248764556964919e-07
-2.368379868332624 -8.333986970981977e-07 -8.993298318160315e-07 -1.149558621342935e-06 -1.3401258636584644e-06 -1.5887484158178367e-06 -1.6313297873489089e-06 -1.7605499974524953e-06 -1.822087147116265e-06 -1.909767886360186e-06 -2.0110434080307433e-06 -2.08848860041059e-06 -2.1453423896156764e-06 -2.2050662685690354e-06 -2.3159565443509315e-06 -2.408568169938889e-06 -2.5147718640783146e-06 -2.9852200718450254e-06 -3.2899670842310514e-06 -5.266414797864449e-06 -7.71604077606016e-06 -8.634785813710115e-06
-2.235144135856716 -2.2880679672952898e-06 -2.4690796702419896e-06 -3.156074358144798e-06 -3.6792702837877986e-06 -4.361855101263262e-06 -4.478760818230402e-06 -4.833530539487053e-06 -5.002478704914455e-06 -5.2432032122976815e-06 -5.521251735546354e-06 -5.733874894812548e-06 -5.889965052323545e-06 -6.053934944275153e-06 -6.35838045011112e-06 -6.6126425393665606e-06 -6.9042211936348605e-06 -8.195820854410018e-06 -9.032493481325882e-06 -1.4458763906687184e-05 -2.1184129271523572e-05 -2.3706512733458216e-05
-2.1019084033808078 -4.42431865503608e-06 -4.774331620373651e-06 -6.102737706663141e-06 -7.114414600508866e-06 -8.434293548497888e-06 -8.660348085273514e-06 -9.346347941236353e-06 -9.673034268180636e-06 -1.0138510794211881e-05 -1.067615883876211e-05 -1.1087297241764248e-05 -1.1389120704010332e-05 -1.1706180801085728e-05 -1.2294871325215656e-05 -1.2786524772945655e-05 -1.3350335331866462e-05 -1.5847834774927503e-05 -1.746566534829009e-05 -2.79581637414107e-05 -4.096265481024576e-05 -4.5840057214940876e-05
-1.9686726709048996 -7.24215076032056e-06 -7.815085682211006e-06 -9.989548666897951e-06 -1.1645558813821649e-05 -1.3806063757521697e-05 -1.4176091588478227e-05 -1.5299002202700374e-05 -1.5833753836914792e-05 -1.6595690632102762e-05 -1.7475764717677997e-05 -1.8148755641265668e-05 -1.8642809344676014e-05 -1.916180383900074e-05 -2.0125429169664516e-05 -2.0930214870676144e-05 -2.1853114278773092e-05 -2.5941261833397453e-05 -2.858948268512364e-05 -4.576461430203494e-05 -6.705161739222662e-05 -7.5035419258158e-05
-1.8354369384289915 -1.074156428314873e-05 -1.1591341855754057e-05 -1.4816507238849234e-05 -1.7272702923726153e-05 -2.0477165728334695e-05 -2.1025991327844546e-05 -2.2691493323879123e-05 -2.3484637411116924e-05 -2.4614742725970335e-05 -2.592006937229401e-05 -2.6918250093316813e-05 -2.76510309743206e-05 -2.8420804058020186e-05 -2.9850053983457706e-05 -3.104371283255804e-05 -3.241255803435476e-05 -3.847610202981988e-05 -4.240394549182654e-05 -6.787811558855993e-05 -9.945101701746618e-05 -0.00011129259886310962
-1.702201205953083 -1.4922559223520597e-05 -1.610310014100281e-05 -2.0583613422516995e-05 -2.3995846930222388e-05 -2.8447599460936894e-05 -2.9210047303372482e-05 -3.152382130477261e-05 -3.262568499078705e-05 -3.4195667075814604e-05 -3.600907280261017e-05 -3.7395780597917695e-05 -3.84137855929441e-05 -3.948318145814409e-05 -4.1468745766595244e-05 -4.312701865859135e-05 -4.502866659861148e-05 -5.345235536419479e-05 -5.890905376839882e-05 -9.429866760098568e-05 -0.00013816085368596452 -0.0001546115960297958
-1.568965473477175 -1.9785135581436162e-05 -2.1350360537957264e-05 -2.7290867217901228e-05 -3.1814990833310355e-05 -3.7717364955328285e-05 -3.8728259515062034e-05 -4.179598614538083e-05 -4.325689657592515e-05 -4.533846368163557e-05 -4.7742775008626466e-05 -4.9581347155068315e-05 -5.0931073200546506e-05 -5.2348936039372444e-05 -5.4981504519077124e-05 -5.718013234877607e-05 -5.970143997154324e-05 -7.087002183652219e-05 -7.810480751484046e-05 -0.00012502627033931222 -0.00018318112739772158 -0.00020499241075821648
-1.4357297410012668 -2.5329293356895407e-05 -2.7333123046617404e-05 -3.4938268625001925e-05 -4.0730134632990017e-05 -4.828646221150885e-05 -4.958062796291317e-05 -5.350798784570376e-05 -5.5378272166531226e-05 -5.8043132543433206e-05 -6.112117599034288e-05 -6.347494976476865e-05 -6.52028937971278e-05 -6.701806780170522e-05 -7.03883302409033e-05 -7.320305390311217e-05 -7.643087815315001e-05 -9.072910144680204e-05 -9.999120673115142e-05 -0.0001600609238035394 -0.00023451183815273726 -0.0002624350430483716
-1.3024940085253587 -3.155503254989834e-05 -3.405138766698325e-05 -4.352581764381909e-05 -5.074127832926141e-05 -6.0154891229478604e-05 -6.176715264692591e-05 -6.665982640574142e-05 -6.898981176260528e-05 -7.230967366120755e-05 -7.614427574775942e-05 -7.907658842701869e-05 -8.1229247382688e-05 -8.349057674514244e-05 -8.768922293207381e-05 -9.119578332159967e-05 -9.521698114343183e-05 -0.00011302959419503434 -0.00012456825141733173 -0.00019940262799366738 -0.0002921529859510117 -0.00032693949290026124
