logk z350 z325 z300 z275 z225 z200 z175 z150 z125 z100 z075 z050 z0375 z025 z0125 z000
-3.3010299956639813 9.865456277445778e-24 3.2884854258152597e-24 -3.2884854258152597e-24 -1.3153941703261039e-23 -3.2884854258152597e-24 3.2884854258152597e-24 3.2884854258152597e-24 1.9730912554891556e-23 -9.865456277445778e-24 9.865456277445778e-24 6.576970851630519e-24 0.0 6.576970851630519e-24 3.2884854258152597e-24 8.22121356453815e-24 -6.576970851630519e-24
-3.191599403766738 -1.2431058914172844e-07 -1.2161379359960645e-07 -1.2316084414169516e-07 -1.2341080708328047e-07 -1.270937673368493e-07 -1.3292469082084933e-07 -1.3279893565194646e-07 -1.3449676146449307e-07 -1.3638095085091645e-07 -1.3536420613876014e-07 -1.3034029608365197e-07 -1.14118358703141e-07 -1.0136883956562151e-07 -8.405376101840887e-08 -6.840285496831898e-08 -6.99541275418646e-08
-3.0821688118694945 -1.0662301877523867e-07 -1.0430993761533182e-07 -1.0563686559575752e-07 -1.0585126248340621e-07 -1.0901019160582412e-07 -1.1401146035053818e-07 -1.1390359829447692e-07 -1.1535984843968263e-07 -1.1697594536040165e-07 -1.161038684819769e-07 -1.1179478701249572e-07 -9.7880992975843e-08 -8.694554308568808e-08 -7.209414580907057e-08 -5.867013373455883e-08 -6.000068301339851e-08
-2.9727382199722507 5.3062711099470216e-08 5.191156795282481e-08 5.25719356378138e-08 5.26786337996237e-08 5.4250727193076544e-08 5.673969141093444e-08 5.668601207240962e-08 5.74107390744324e-08 5.8215016471545545e-08 5.778101297035078e-08 5.563652721346976e-08 4.87120971818949e-08 4.326988943980101e-08 3.587884562801558e-08 2.919816370128092e-08 2.9860333585398784e-08
-2.8633076280750074 3.547466004823969e-07 3.4705072310486215e-07 3.5146555955901755e-07 3.52178881765808e-07 3.6268898905985125e-07 3.793287644635672e-07 3.7896989544871173e-07 3.838150010778505e-07 3.891919346449236e-07 3.8629043821822147e-07 3.7195364659424315e-07 3.256609117700715e-07 2.892774580108447e-07 2.3986521329284866e-07 1.9520203733919962e-07 1.9962892225452657e-07
-2.753877036177764 3.648644960605157e-07 3.5694912092434955e-07 3.6148987501711447e-07 3.622235422239467e-07 3.730334132591266e-07 3.901477795673062e-07 3.897786750795426e-07 3.9476197025793744e-07 4.0029226189042305e-07 3.973080105118046e-07 3.825623124729955e-07 3.3494924066366436e-07 2.975280772113594e-07 2.467065224910761e-07 2.0076948697155243e-07 2.0532263316534828e-07
-2.6444464442805207 -6.099422604016245e-07 -5.967101650494956e-07 -6.043009222899864e-07 -6.055273903057863e-07 -6.235982008259561e-07 -6.522082064144965e-07 -6.515911761799243e-07 -6.5992172726992e-07 -6.691666897571489e-07 -6.641779307763881e-07 -6.395276167828357e-07 -5.599330687859498e-07 -4.973762860093315e-07 -4.1241813223469693e-07 -3.356254062132488e-07 -3.432368792706977e-07
-2.5350158523832773 -4.54129990936476e-07 -4.442780889902538e-07 -4.4992975594403174e-07 -4.508429176399132e-07 -4.6429746498073313e-07 -4.855989264831092e-07 -4.851395191702783e-07 -4.913419965793783e-07 -4.982252952177871e-07 -4.945109353221072e-07 -4.7615764584335977e-07 -4.168958538556757e-07 -3.7031945959721905e-07 -3.070642170792627e-07 -2.498885100719412e-07 -2.5555560090167824e-07
-2.425585260486034 7.1242507282160964e-06 6.9696971400024206e-06 7.058358741778744e-06 7.072684139807303e-06 7.2837549138228695e-06 7.617925648302256e-06 7.6107186085816656e-06 7.708021154285363e-06 7.816004212695838e-06 7.757734484380614e-06 7.4698137600424e-06 6.540133110999552e-06 5.809457054945129e-06 4.8171283901002115e-06 3.920173596510797e-06 4.009077163278935e-06
-2.3161546685887906 2.253954193764972e-05 2.2050568820889598e-05 2.2331074374067533e-05 2.2376396741563583e-05 2.3044177641510566e-05 2.410141938825344e-05 2.4078617920390273e-05 2.4386461494851018e-05 2.472809583177278e-05 2.454374339456072e-05 2.3632826374861078e-05 2.069152394501668e-05 1.837982770683572e-05 1.5240320913704567e-05 1.2402555798811311e-05 1.2683826875310717e-05
-2.206724076691547 4.579174363736449e-05 4.4798336953671366e-05 4.5368217140922434e-05 4.546029488762902e-05 4.6816970718082454e-05 4.8964882293370546e-05 4.891855841625565e-05 4.954397902511769e-05 5.023804956201314e-05 4.9863515795218325e-05 4.8012880198612774e-05 4.203727664819581e-05 3.7340792496074635e-05 3.096251335373387e-05 2.5197258096829654e-05 2.5768693535193726e-05
-2.097293484794304 7.688085582736008e-05 7.521300153834741e-05 7.616978704234312e-05 7.63243785780033e-05 7.86021341435382e-05 8.220831436365323e-05 8.213054009617745e-05 8.318057374508504e-05 8.434586540341658e-05 8.371705168635307e-05 8.060997523129715e-05 7.057739122053662e-05 6.26923514226616e-05 5.1983705710187906e-05 4.230428049056565e-05 4.3263677142927785e-05
-1.98786289289706 0.00011580687850763703 0.00011329456257491824 0.00011473578407833011 0.00011496864781268693 0.00011839966791787833 0.00012383171559910203 0.00012371456296015622 0.00012529624565475362 0.00012705154335598365 0.00012610435106796554 0.00012142411147291476 0.00010631186766203962 9.443450448659707e-05 7.830389798306701e-05 6.372362298001958e-05 6.516877769851317e-05
-1.8784323009998167 0.00016256981167819487 0.00015904302006338345 0.000161066208248883 0.0001613931025916795 0.00016620957204110243 0.00017383508599971652 0.00017367062700819152 0.00017589099475412296 0.0001783550834197139 0.0001770254139400552 0.00017045528892346514 0.0001492407059727044 0.00013256725168788065 0.00010992309017237091 8.945528556519121e-05 9.148399520194965e-05
-1.7690017091025734 0.00021190256394681978 0.0002073279217194577 0.0002099669233406168 0.00021037839449794586 0.00021657011656673014 0.00022643545939443646 0.00022617241715342732 0.0002289848250932407 0.0002320467972149221 0.0002301118900345634 0.0002216004217434796 0.00019441643580602366 0.00017302640301927557 0.00014386053016892964 0.00011730414209064367 0.00011885445223921926
-1.6595711172053298 0.00025475183212084743 0.0002493308255252574 0.0002525100246596269 0.0002529532830177135 0.00026009344518472375 0.00027169282483586825 0.0002712054124678091 0.00027429906246762014 0.0002774532053111281 0.0002744175850441255 0.00026436926353297265 0.00023333513236778192 0.0002088262539185821 0.00017499277306225967 0.00014349711532048637 0.00014151364123685838
-1.5501405253080864 0.0002909612690313425 0.0002848994402767242 0.00028854133062227333 0.00028896283817389935 0.00029661743311861096 0.00030943552204292565 0.00030859666591067964 0.00031165619800805846 0.00031438998070015253 0.0003097534622763707 0.0002985806516498491 0.0002658499360490476 0.0002398461638739257 0.00020323133886998302 0.00016796904561834655 0.00015936197676018446
-1.440709933410843 0.0003205308746783052 0.0003140337659738582 0.00031806084122855643 0.0003184070599665035 0.00032614208036839203 0.0003396635510156088 0.00033834617748203894 0.0003410562317145558 0.0003428571233819955 0.00033611952173129896 0.00032423458609410913 0.0002919608468498208 0.0002660861328853065 0.0002285762275920997 0.00019071993298422433 0.0001723994588091975
-1.3312793415135995 0.0003434606490617354 0.0003367338026166594 0.00034106855647847613 0.00034128594839552594 0.00034866738693406686 0.00036237691175391784 0.0003604539471818871 0.00036249916358711224 0.000362854633356657 0.0003535157634089104 0.0003413310668657528 0.00031166786477010146 0.00028754616095272447 0.0002510274392286098 0.0002117497774181197 0.0001806260873838976
-1.2218487496163564 0.0003597505921816332 0.00035299955020512777 0.00035756447637203226 0.00035759950346096655 0.0003641933528156354 0.0003775756042578525 0.00037491997501022396 0.00037598499362572754 0.000374382510624137 0.000361942187309205 0.0003498700939647799 0.0003249709898098896 0.0003042262480761795 0.0002705849737795131 0.00023105857892003254 0.0001840418624842846
-1.2018201321381388 0.0003620132293869742 0.00035528001143524145 0.00035987867406899853 0.00035987452755941953 0.0003662772412613641 0.0003795438028035906 0.00037674031978707 0.00037759179542463147 0.0003755754689584428 0.0003625133486933863 0.00035050650803744777 0.0003267125055437244 0.00030676164730912835 0.0002738512308993663 0.0002344062633151627 0.00018414620424525634
-0.900790122650135 0.00037013635355086943 0.0003631672780177786 0.0003669862066531974 0.0003653357715254544 0.00036480878581894425 0.0003729810888311619 0.0003638326761303897 0.0003575547817596196 0.00034556672464723784 0.0003190192882284124 0.000300855843650773 0.0002807922862825939 0.00026459778705237666 0.00023519294462853534 0.00019308872986874528 0.00010246484592131582
