logk z353 z302 z248 z224 z201 z174 z149 z126 z100 z074 z050 z027 z000
-3.3010299956639813 1.0276516955672686e-25 0.0 2.5691292389181716e-26 -2.5691292389181716e-26 0.0 -2.0553033911345373e-25 -2.0553033911345373e-25 -4.1106067822690746e-25 -6.165910173403611e-25 0.0 -8.221213564538149e-25 -4.1106067822690746e-25 -4.1106067822690746e-25
-3.1664877587814924 -4.125639142247e-09 -3.1065691026070107e-09 -8.820668520317937e-10 5.649807946884162e-10 1.5684337712946487e-09 3.479423747922149e-09 5.245172057016224e-09 7.474821451193005e-09 9.168895721372186e-09 1.0320092216441676e-08 1.2273512256606763e-08 1.3788629414230355e-08 1.6661826438189822e-08
-3.0319455218990035 -1.5832478799719238e-09 -1.1921713887487555e-09 -3.3850039359289073e-10 2.1681601676100591e-10 6.018993318756791e-10 1.3352574189077972e-09 2.012877824025099e-09 2.8685240777806892e-09 3.518638982235316e-09 3.960420085091823e-09 4.710061057230175e-09 5.291499701039951e-09 6.394112639322254e-09
-2.897403285016515 7.627173786825189e-09 5.743193141574734e-09 1.6306993753167e-09 -1.0444943337822247e-09 -2.8996033182568907e-09 -6.432498987043017e-09 -9.696882698973323e-09 -1.3818892120236871e-08 -1.695077021741051e-08 -1.907901639404944e-08 -2.269035359812964e-08 -2.5491389139571076e-08 -3.080314139660252e-08
-2.762861048134026 1.2449161196725053e-08 9.374106215711478e-09 2.6616463652346737e-09 -1.704835722083815e-09 -4.732766044729727e-09 -1.0499199182506388e-08 -1.582736400129964e-08 -2.2555355413842156e-08 -2.7667243036955637e-08 -3.114099104110598e-08 -3.703545735928313e-08 -4.1607339939616384e-08 -5.027724335771824e-08
-2.628318811251537 -2.602174662203532e-08 -1.959414075363246e-08 -5.563482247447966e-09 3.563517452399116e-09 9.892621429765644e-09 2.194585615401404e-08 3.308300448747398e-08 4.7146127700824865e-08 5.7831204581664826e-08 6.509217493656555e-08 7.741302985842785e-08 8.696936608150007e-08 1.0509155330506292e-07
-2.4937765743690483 4.60268461913342e-08 3.465780048580977e-08 9.840597766587471e-09 -6.3030922583351325e-09 -1.7497909405948477e-08 -3.8817476797756305e-08 -5.851668534051245e-08 -8.339131111073505e-08 -1.022909029513744e-07 -1.1513399033436543e-07 -1.3692692002011083e-07 -1.538300135703169e-07 -1.8588424636663362e-07
-2.3592343374865594 4.826198254480667e-07 3.634083802166888e-07 1.0318472738002329e-07 -6.609180374547369e-08 -1.8347635525796485e-07 -4.0702514785805e-07 -6.135834801158888e-07 -8.744092490031576e-07 -1.07258310773881e-06 -1.207250787666887e-06 -1.435763075413352e-06 -1.613002420138838e-06 -1.949110789865519e-06
-2.224692100604071 1.2872229085518653e-06 9.692672524183025e-07 2.7520988134487114e-07 -1.7627722559823097e-07 -4.893602691236042e-07 -1.085600025223106e-06 -1.6365235538777922e-06 -2.3321868630687136e-06 -2.860747683386906e-06 -3.219927546095642e-06 -3.829405723664827e-06 -4.302130905676473e-06 -5.198584740465654e-06
-2.0901498637215816 2.45983609550274e-06 1.852234417090658e-06 5.259160596611332e-07 -3.368593578166084e-07 -9.351496510028704e-07 -2.0745421088929325e-06 -3.127336906626236e-06 -4.456724153307421e-06 -5.466784629895684e-06 -6.153164265620656e-06 -7.317854864774563e-06 -8.221215470183255e-06 -9.934306098167079e-06
-1.9556076268390932 4.0004593863006754e-06 3.0123098742337442e-06 8.553032623288061e-07 -5.478382004006038e-07 -1.5208445008957576e-06 -3.3738513988675164e-06 -5.0860235383612e-06 -7.248021119719252e-06 -8.89069394726511e-06 -1.000696094624189e-05 -1.1901110498742516e-05 -1.3370256113659136e-05 -1.615627486296973e-05
