logk z300 z275 z250 z225 z200 z175 z150 z125 z100 z075 z050 z0375 z025 z0125 z000
-3.3010299956639813 -6.576970851630519e-24 -6.576970851630519e-24 0.0 6.576970851630519e-24 1.9730912554891556e-23 0.0 1.3153941703261039e-23 0.0 3.9461825109783113e-23 -1.3153941703261039e-23 1.3153941703261039e-23 -2.6307883406522077e-23 -2.6307883406522077e-23 0.0 2.6307883406522077e-23
-3.136905411806241 -1.627815020965505e-07 -2.1654939058379073e-07 -1.684944923380419e-07 -2.1414068920619863e-07 -1.779506982278467e-07 -2.608707401468888e-07 -2.5766508210271794e-07 -2.8262749796958216e-07 -3.313757147970279e-07 -3.8460387099801927e-07 -4.455048762299819e-07 -4.766165525523788e-07 -5.220927360713364e-07 -5.866182869651075e-07 -6.030322615178308e-07
-2.9727808279485006 6.472757583371935e-08 8.610755472967864e-08 6.699925906756789e-08 8.514977144920228e-08 7.075937478064519e-08 1.037312618336752e-07 1.0245658091797758e-07 1.1238250398174775e-07 1.3176648717896317e-07 1.5293184978229672e-07 1.7714820350634255e-07 1.8951928598522089e-07 2.0760219515757582e-07 2.3325979405484962e-07 2.397865601118672e-07
-2.8086562440907605 5.859147773559198e-07 7.79446597655831e-07 6.064780806936327e-07 7.707767321416787e-07 6.40514692330687e-07 9.389766015378065e-07 9.274381749043208e-07 1.0172877471623818e-06 1.1927517909332127e-06 1.3843409020293386e-06 1.6035476206162727e-06 1.7155308046441157e-06 1.8792175110470512e-06 2.111470397884695e-06 2.1705507609586284e-06
-2.64453166023302 -7.438882147720828e-07 -9.895997855813623e-07 -7.699957641988756e-07 -9.785923643165477e-07 -8.132092745012428e-07 -1.1921420227406373e-06 -1.1774926233375424e-06 -1.2915672985090865e-06 -1.514339686784395e-06 -1.7575847581345778e-06 -2.0358936536561266e-06 -2.17806957082089e-06 -2.385889234215443e-06 -2.6807617857236766e-06 -2.755771305049142e-06
-2.48040707637528 -4.805725267087822e-06 -6.3930905200993664e-06 -4.974387315296938e-06 -6.321979509805964e-06 -5.253558639987535e-06 -7.70156984191124e-06 -7.6069306374432905e-06 -8.343884843626929e-06 -9.783056581913121e-06 -1.1354487560746828e-05 -1.3152440619692654e-05 -1.4070936683915726e-05 -1.5413509650579656e-05 -1.7318468545227477e-05 -1.7803050953089586e-05
-2.31628249251754 -1.1599596379591294e-05 -1.5431025605898178e-05 -1.2006696572600553e-05 -1.5259384704326565e-05 -1.2680533404128186e-05 -1.8589306855973998e-05 -1.8360875867412916e-05 -2.0139664888191137e-05 -2.361339889445296e-05 -2.7406367505807404e-05 -3.174609327749329e-05 -3.396307053464039e-05 -3.720364373804558e-05 -4.1801649880626705e-05 -4.2971288183162696e-05
-2.1521579086597997 -2.1125501552282503e-05 -2.8103405042977804e-05 -2.1866923536109723e-05 -2.7790807947878353e-05 -2.30941335669232e-05 -3.385535306492892e-05 -3.3439328313246425e-05 -3.6678907432201724e-05 -4.300536662440392e-05 -4.991322459331632e-05 -5.781685162705807e-05 -6.185447112299489e-05 -6.775629149661322e-05 -7.613030579192137e-05 -7.82604829952685e-05
-1.9880333248020592 -3.3383440785161486e-05 -4.441022883133828e-05 -3.455506820582448e-05 -4.391624924046138e-05 -3.6494359128372616e-05 -5.3499708468776053e-05 -5.284228797494387e-05 -5.796161247565875e-05 -6.795895977176607e-05 -7.887505882327364e-05 -9.136471566838706e-05 -9.774513844897931e-05 -0.00010707145292628268 -0.00012030443627911157 -0.00012367063538940706
-1.8239087409443189 -4.8373414078228194e-05 -6.435149697097957e-05 -5.007113058174479e-05 -6.363570858207559e-05 -5.2881210088476385e-05 -7.752237306751534e-05 -7.656975485250521e-05 -8.398778001856213e-05 -9.847417833653932e-05 -0.00011429187019567929 -0.00013238968540148018 -0.00014163507251259354 -0.00015514912802705387 -0.0001743240413421972 -0.00017920174536557832
