logk z371 z349 z328 z290 z244 z210 z174 z141 z104 z070 z035 z018 z000
-3.3010299956639813 0.0 0.0 0.0 -2.5691292389181716e-26 0.0 -5.138258477836343e-26 -1.0276516955672686e-25 -2.0553033911345373e-25 -4.1106067822690746e-25 0.0 -8.221213564538149e-25 0.0 0.0
-3.164079469804615 6.206257111813176e-10 5.47522850473852e-10 4.466360822355484e-10 5.405099800570685e-10 1.1080931396003216e-09 2.273161554633254e-09 4.440284202314501e-09 6.805685532847144e-09 1.0147254350165303e-08 1.431205096416586e-08 1.984452907420964e-08 2.1178747774132226e-08 2.338748454489178e-08
-3.0271289439452485 2.052288461154496e-10 1.8105515256644262e-10 1.4769386143582938e-10 1.787361327809844e-10 3.66424839209055e-10 7.516902933386351e-10 1.468315583527981e-09 2.2505077758900195e-09 3.355499561177525e-09 4.73271675988161e-09 6.562199616017347e-09 7.003399777914554e-09 7.733786048848979e-09
-2.890178418085882 -1.2461905951976048e-09 -1.0994030937222289e-09 -8.968266623991573e-10 -1.0853215418282528e-09 -2.2250049011738e-09 -4.5644137838838564e-09 -8.915905856359567e-09 -1.366553327087138e-08 -2.037526436696334e-08 -2.8738002612852755e-08 -3.984698837457689e-08 -4.252604398865302e-08 -4.6961095488128425e-08
-2.7532278922265156 -1.6863988346233578e-09 -1.487759659862055e-09 -1.21362450026296e-09 -1.468703896806867e-09 -3.01097254852559e-09 -6.176761496631235e-09 -1.2065388154684448e-08 -1.8492788720532717e-08 -2.757268608510186e-08 -3.888950398316329e-08 -5.392266240581087e-08 -5.754807595240625e-08 -6.354977882918321e-08
-2.6162773663671492 4.759661333150053e-09 4.199025746864579e-09 3.4253116690247775e-09 4.145243108543611e-09 8.498114040498784e-09 1.743317906536138e-08 3.405313161410248e-08 5.219370982006839e-08 7.782064664415778e-08 1.0976102721002418e-07 1.5219033953540603e-07 1.6242264064955054e-07 1.7936173745699758e-07
-2.4793268405077824 -1.1288180724088824e-08 -9.958557590134139e-09 -8.123589988847434e-09 -9.831004787804061e-09 -2.015442704608974e-08 -4.134514246099979e-08 -8.076160822702234e-08 -1.2378444344477217e-07 -1.8456219085724926e-07 -2.6031312416683726e-07 -3.6093997805493525e-07 -3.85207264341734e-07 -4.2538062389014343e-07
-2.342376314648416 -8.446512437450141e-08 -7.451606472301692e-08 -6.078570635489533e-08 -7.356163605320169e-08 -1.5080784306650942e-07 -3.093698343079741e-07 -6.043081210618044e-07 -9.262314864324671e-07 -1.3810080460814348e-06 -1.9478232096467203e-06 -2.7007753404480325e-06 -2.882358130850384e-06 -3.1829599633101364e-06
-2.2054257887890496 -2.148203879698966e-07 -1.8951691662483164e-07 -1.5459645763719274e-07 -1.8708951550919209e-07 -3.835500106861954e-07 -7.868211681966629e-07 -1.5369385409801854e-06 -2.355687139974464e-06 -3.5123216409815883e-06 -4.9539042378938986e-06 -6.868889506184437e-06 -7.330709526835057e-06 -8.095231011313687e-06
-2.068475262929683 -4.023539715102745e-07 -3.5496111329557846e-07 -2.895558438357398e-07 -3.504146431557753e-07 -7.183809299051478e-07 -1.4736991441270664e-06 -2.8786528679821646e-06 -4.412151404070764e-06 -6.5785029755577095e-06 -9.278556208908373e-06 -1.286528247526415e-05 -1.3730261452295756e-05 -1.51621937679008e-05
-1.9315247370703168 -6.470658749956351e-07 -5.708486547352572e-07 -4.6566386495053634e-07 -5.635370189929514e-07 -1.1553006007233668e-06 -2.370003762099185e-06 -4.629451102067745e-06 -7.095624278721367e-06 -1.0579552049809801e-05 -1.4921779122690142e-05 -2.0689954247687173e-05 -2.2081013907232483e-05 -2.438384823307147e-05
-1.7945742112109502 -9.489560984259787e-07 -8.371795409438683e-07 -6.829205209815827e-07 -8.264566430207207e-07 -1.6943090231408523e-06 -3.475735022113019e-06 -6.789333243236925e-06 -1.0406105763926275e-05 -1.551546886373786e-05 -2.1883572979239217e-05 -3.0342904823453513e-05 -3.238296689164524e-05 -3.576019440682571e-05
-1.6576236853515838 -1.308024641801305e-06 -1.1539537719214113e-06 -9.413258119288786e-07 -1.1391735152390827e-06 -2.335406197157604e-06 -4.7908929241685675e-06 -9.358299291489704e-06 -1.4343595859685484e-05 -2.1386253417341892e-05 -3.0163937778555587e-05 -4.182413420256316e-05 -4.4636120405534024e-05 -4.929123228916352e-05
-1.5206731594922174 -1.7242715051216132e-06 -1.521171347667886e-06 -1.2408797377924238e-06 -1.501687635648037e-06 -3.078592122773622e-06 -6.315477468265829e-06 -1.2336349246826078e-05 -1.8908094565998992e-05 -2.8191905710621883e-05 -3.976287352063924e-05 -5.5133642385016094e-05 -5.8840474448898814e-05 -6.497696188008486e-05
-1.3837226336328508 -2.1976966883869056e-06 -1.9388322681832934e-06 -1.5815822985722192e-06 -1.913999004247585e-06 -3.923866799988907e-06 -8.04948865440481e-06 -1.572348310924606e-05 -2.4099601882866813e-05 -3.5932425743577864e-05 -5.068038020549021e-05 -7.027142937081237e-05 -7.499602902173967e-05 -8.281738317958979e-05
-1.2467721077734844 -2.7283001915971796e-06 -2.4069365334676325e-06 -1.9634334942682637e-06 -2.3761076210377256e-06 -4.871230228803458e-06 -9.992926482585502e-06 -1.9519700878749634e-05 -2.991811781028893e-05 -4.4607813516209795e-05 -6.291645783310847e-05 -8.723749515995195e-05 -9.310278412405653e-05 -0.00010281249618767826
