logk z475 z450 z425 z400 z375 z350 z325 z300 z295 z290 z285 z280 z275 z270 z265 z260 z255 z250 z245 z240 z235 z230 z225 z220 z215 z210 z205 z200 z195 z190 z185 z180 z175 z170 z165 z160 z155 z150 z145 z140 z135 z130 z125 z120 z115 z110 z105 z100 z095 z090 z085 z080 z075 z070 z065 z060 z055 z050 z045 z040 z035 z030 z025 z020 z015 z010 z005 z000 
-4.441842715412877673e+00 -4.357666361403735608e-05 -5.237332203931977323e-05 -5.913983387984453989e-05 -6.609412632165922259e-05 -7.092873718090366439e-05 -7.718353913855023347e-05 -8.397401009330212251e-05 -9.053991085342124700e-05 -9.093719883313901352e-05 -9.250113573904604849e-05 -9.390437082328919032e-05 -9.515108855798579829e-05 -9.624503523886660471e-05 -9.833336390364911216e-05 -9.910300652103191357e-05 -1.008155764171290102e-04 -1.023327111625046943e-04 -1.036594347178796457e-04 -1.097908485440401044e-04 -1.067303168478187235e-04 -1.131435037978981584e-04 -1.099052068699103474e-04 -1.067178913557606605e-04 -1.122106799849009447e-04 -1.172391848194269951e-04 -1.136954263178631202e-04 -1.180809485633968101e-04 -1.144090582712906876e-04 -1.181875933949937037e-04 -1.215549018509764210e-04 -1.245252476548233298e-04 -1.204222809434970159e-04 -1.293259533125426075e-04 -1.249351900327796147e-04 -1.326931894152701694e-04 -1.280484257612223844e-04 -1.291108474552333911e-04 -1.298616974749688079e-04 -1.355267823847915458e-04 -1.354996551848530381e-04 -1.352036507046731949e-04 -1.392964602378342690e-04 -1.383209181360996632e-04 -1.414054417741260892e-04 -1.398227543248323375e-04 -1.419877498509964752e-04 -1.436466597061576353e-04 -1.448199709270629211e-04 -1.455397274046140040e-04 -1.458305716492388820e-04 -1.488861261470972005e-04 -1.512813533488930229e-04 -1.501679284556780767e-04 -1.542508507514928626e-04 -1.549074824723046747e-04 -1.550612495042241778e-04 -1.571383677985045148e-04 -1.562997288323715323e-04 -1.593934436665085305e-04 -1.617246814836601919e-04 -1.614156349131614732e-04 -1.625196458432043767e-04 -1.630550559883760210e-04 -1.630851724245615413e-04 -1.642531460540047747e-04 -1.633846099828518874e-04 -1.650479638818784815e-04 -1.661714176827810269e-04
-3.883321290966510020e+00 -3.750495601638588678e-05 -4.417123716990100198e-05 -4.925700290033857884e-05 -5.491538455863610008e-05 -6.252160675210712796e-05 -6.780787880529887319e-05 -7.542186335506264792e-05 -8.146339801474419872e-05 -8.334011812187041039e-05 -8.380221930691112700e-05 -8.660590840662550389e-05 -8.681376253316798019e-05 -8.924788954951615465e-05 -9.034423417946428690e-05 -9.129562243828647243e-05 -9.317683202308159318e-05 -9.382095216384954894e-05 -9.534599954673267136e-05 -9.865824790952335726e-05 -9.592510175421883455e-05 -9.323226962063386146e-05 -9.963903503315777051e-05 -9.676752489417394631e-05 -1.024800164865174681e-04 -1.077313843282654091e-04 -1.044969877685626735e-04 -1.091081964717741115e-04 -1.132917679636598920e-04 -1.097433834986078524e-04 -1.204234657204422275e-04 -1.096859555089682304e-04 -1.193610208111267997e-04 -1.218085363647489986e-04 -1.177050004301785695e-04 -1.196637450196736757e-04 -1.212838766123482598e-04 -1.225797466361680326e-04 -1.235645693602856416e-04 -1.294273875335460447e-04 -1.296363701638921363e-04 -1.295756399609076365e-04 -1.338752976685934567e-04 -1.331351101440998871e-04 -1.364314647180054599e-04 -1.350823083117362676e-04 -1.413893866056723187e-04 -1.393373944277506444e-04 -1.407289400561275437e-04 -1.451223349275085762e-04 -1.454829208923410079e-04 -1.454448877105924244e-04 -1.480552641637146026e-04 -1.500474672206485855e-04 -1.514611181551935883e-04 -1.523369275537611611e-04 -1.552134187619361443e-04 -1.573939382737494965e-04 -1.566588529644005572e-04 -1.598710664861541621e-04 -1.602718872156887718e-04 -1.621380345193971996e-04 -1.633741215313618087e-04 -1.622806789010322864e-04 -1.642115920318122906e-04 -1.655299748321550012e-04 -1.663121198499292459e-04 -1.666290797455751132e-04 -1.679191207168397796e-04
-3.543321992868103010e+00 -2.519010658693997913e-05 -3.172017042656083836e-05 -3.945473555977023684e-05 -4.538597789038099597e-05 -4.965698896161006701e-05 -5.823275244572478768e-05 -6.419637847877363761e-05 -7.087980329202206258e-05 -7.366997508322964308e-05 -7.332690015282860045e-05 -7.722416319305832819e-05 -7.667530313153175087e-05 -7.879856645028930303e-05 -8.073797157512670349e-05 -8.249793437588735161e-05 -8.282779103012364468e-05 -8.427547826732299124e-05 -8.674454272345888796e-05 -8.782969365800861181e-05 -8.987976340719395737e-05 -9.062139533673600246e-05 -9.227533481534875182e-05 -9.372433208965500937e-05 -9.997100849079253713e-05 -9.699603293833973646e-05 -9.407072243841254472e-05 -1.003114214514292930e-04 -9.719933381934545938e-05 -1.026984005626275533e-04 -9.941922610329781895e-05 -1.122316462353548100e-04 -1.162957479709236797e-04 -1.124147054606631374e-04 -1.158480075438973571e-04 -1.188582616631300530e-04 -1.214566704821023986e-04 -1.171516529486258084e-04 -1.254838974435669614e-04 -1.208977871132910540e-04 -1.222305327573165886e-04 -1.288244768288668491e-04 -1.292783040485493090e-04 -1.294253773909147308e-04 -1.342545518039610505e-04 -1.336394314676121666e-04 -1.373456580329721131e-04 -1.404352617695178523e-04 -1.429346160643998225e-04 -1.448779606935863033e-04 -1.462950774315281840e-04 -1.472152399874953634e-04 -1.476699789616696889e-04 -1.544028305777337502e-04 -1.537111642163723857e-04 -1.587650524817517210e-04 -1.599993021625039996e-04 -1.606674906640675885e-04 -1.660873385949591561e-04 -1.680088572202477828e-04 -1.692638338485255556e-04 -1.721802096695664800e-04 -1.743264493148341835e-04 -1.737344218247785445e-04 -1.766090104297623217e-04 -1.787354563386967725e-04 -1.802033503455117795e-04 -1.827573436156393859e-04 -1.830776301611032803e-04
-3.284361158134804448e+00 -1.183098258306442609e-05 -1.444517874126635889e-05 -2.305593204533363852e-05 -3.289960685274451310e-05 -3.784070146296832857e-05 -4.616597641264557738e-05 -5.211703750584355341e-05 -5.977476484755771859e-05 -6.208474946568544588e-05 -6.239276245987881140e-05 -6.441823181333125874e-05 -6.628384839474084182e-05 -6.799321430349005823e-05 -6.954989628275776365e-05 -7.095755612242831876e-05 -7.221973642940981129e-05 -7.486808323634148684e-05 -7.580898221138617540e-05 -7.806107849675820325e-05 -8.010168702642091285e-05 -8.057131897566837298e-05 -8.357260972278893283e-05 -8.501429791035843345e-05 -8.751640938268799390e-05 -8.854693872934047869e-05 -9.057752589544285863e-05 -9.350334224239089667e-05 -9.501691529215882369e-05 -9.737218170084507309e-05 -9.943683542191883277e-05 -1.012212190604590614e-04 -1.066113580874060402e-04 -1.030478751972074624e-04 -9.955246649460559719e-05 -1.048639391352093256e-04 -1.096301669585222492e-04 -1.138711305379814197e-04 -1.176069342403872255e-04 -1.133011810972000123e-04 -1.236332167666063739e-04 -1.259622115031292444e-04 -1.278604573089882704e-04 -1.293435171598714573e-04 -1.366451142182202670e-04 -1.311514503056007285e-04 -1.315108598417250485e-04 -1.424977668628249245e-04 -1.417415843306054106e-04 -1.457260804523628371e-04 -1.490087317068317422e-04 -1.470317958905950964e-04 -1.536182589294336450e-04 -1.550221957180125643e-04 -1.598752976086476561e-04 -1.638479114009358463e-04 -1.633616194584144106e-04 -1.693717177477324252e-04 -1.710430670876678951e-04 -1.751910682064735335e-04 -1.784370701799379373e-04 -1.808583996701686463e-04 -1.825312254255662798e-04 -1.860804204160358948e-04 -1.887719422735287744e-04 -1.952943264015130132e-04 -1.963179484535832202e-04 -1.988409237740870511e-04 -2.026412224430389913e-04
-3.056919578579056829e+00 9.872935322491191833e-06 4.521746207954212109e-06 0.000000000000000000e+00 -3.747430667892644266e-06 -1.693970650308106632e-05 -2.132842576494008849e-05 -2.724394775882684982e-05 -3.872685465812678962e-05 -4.015196337734467709e-05 -3.916901777280763005e-05 -4.269245591238501723e-05 -4.381266581054950256e-05 -4.483591656570470884e-05 -4.576449591209522675e-05 -4.862670093121018689e-05 -5.129196571656285009e-05 -5.184466188373548979e-05 -5.418155493058412532e-05 -5.633408658956550065e-05 -5.653959982068897626e-05 -5.838653951509597585e-05 -6.173071230027695540e-05 -6.319202356726345729e-05 -6.606411997127431210e-05 -6.715926975983477567e-05 -6.958421951149878430e-05 -7.320638965855072271e-05 -7.511852036735597055e-05 -7.680807216186901008e-05 -7.958568479520283410e-05 -8.207034443209129269e-05 -8.427136116066404482e-05 -8.855769628251478499e-05 -9.013824817274991151e-05 -9.366840180461866888e-05 -9.573459823771697541e-05 -9.851731449761920976e-05 -1.088446145254366851e-04 -1.048892704004930306e-04 -1.010189135816175567e-04 -1.060726598714556917e-04 -1.105390480313758940e-04 -1.144398578926579611e-04 -1.256528057567414894e-04 -1.206436339326096431e-04 -1.302262320879375419e-04 -1.318094315026300525e-04 -1.329513200700970486e-04 -1.336800529072553259e-04 -1.462023931061639745e-04 -1.514683696159836333e-04 -1.503236136172078847e-04 -1.542007750313719870e-04 -1.623994522586024770e-04 -1.645843522721600458e-04 -1.707299632925580503e-04 -1.758396347066384924e-04 -1.757984182669171272e-04 -1.792503754119698957e-04 -1.894506316266969601e-04 -1.909438576820255849e-04 -1.951911081238193548e-04 -2.017539584786358874e-04 -2.040532400531007353e-04 -2.056065989337911766e-04 -2.120890782076512333e-04 -2.174512599526301840e-04 -2.218284216676412652e-04
-2.873808408957115201e+00 3.955886217931194965e-05 3.104866879085651485e-05 2.359753924957348978e-05 2.142699501473564210e-05 1.161784268295164617e-05 3.481124472714135862e-06 -3.110976302075752440e-06 -1.104889966776917702e-05 -1.347532734962968130e-05 -1.577245603459648287e-05 -1.794285201683197035e-05 -1.749057695215451249e-05 -2.191415252563890575e-05 -2.134818534554723548e-05 -2.540999606293995684e-05 -2.698606170079388358e-05 -2.845108984278561502e-05 -2.980765545989653141e-05 -3.312869462889021354e-05 -3.421793402514702192e-05 -3.716334169271312852e-05 -3.989971871223261672e-05 -4.243241025025391020e-05 -4.476592347030313877e-05 -4.690565969754582329e-05 -5.054248939685832329e-05 -5.225923193179267553e-05 -5.538154324463410885e-05 -5.823263941088923387e-05 -6.081971628734509234e-05 -6.315133789638532956e-05 -6.662354645147893113e-05 -7.110366985135850408e-05 -7.387548872975711054e-05 -7.758874216276249645e-05 -8.091323267876583800e-05 -8.502861567468283910e-05 -8.757658746567978370e-05 -9.302315526112645873e-05 -9.685396460514431147e-05 -1.012127999982208998e-04 -1.060031512838535488e-04 -1.111327203656297291e-04 -1.067330784612839070e-04 -1.195161305514216957e-04 -1.228214546060896791e-04 -1.334248996387432098e-04 -1.353200320819169828e-04 -1.367275346198179326e-04 -1.445569160955723423e-04 -1.513451626724625452e-04 -1.571462248853901927e-04 -1.560146656951525129e-04 -1.660088331960952481e-04 -1.691839606725568544e-04 -1.819897726770963189e-04 -1.881420973493038590e-04 -1.884685522241202850e-04 -1.971856240144526898e-04 -2.045007207256169474e-04 -2.105263165668676869e-04 -2.192177013612180028e-04 -2.264492763300295910e-04 -2.288861232174410826e-04 -2.370659153121755351e-04 -2.438452532599082916e-04 -2.493750792221422776e-04 -2.538114025706594249e-04
-2.729578190769943458e+00 6.930814720054744060e-05 6.348675004817750604e-05 5.265763062926919689e-05 4.783453080045158283e-05 3.892253766784593263e-05 3.111653922104468524e-05 2.086818610329853384e-05 1.236071024657036677e-05 1.206188955542034941e-05 8.825099760288403265e-06 5.737711972562988864e-06 5.593951819289378603e-06 2.726047245295951612e-06 0.000000000000000000e+00 0.000000000000000000e+00 -5.037999108295978327e-06 -4.903787685637838328e-06 -7.157248324314407001e-06 -9.282206937531607943e-06 -1.353775340989073316e-05 -1.315798130273786247e-05 -1.704535769724313283e-05 -2.069318014938451169e-05 -2.209796025885829812e-05 -2.534278554377565647e-05 -2.836463686369151502e-05 -3.116855496412161756e-05 -3.553767615967038410e-05 -3.786855137752540137e-05 -4.333333334018430594e-05 -4.677724916750793869e-05 -4.993056531813626125e-05 -5.280089913615373124e-05 -5.685640915410533695e-05 -6.195629829991414921e-05 -6.660527203589224272e-05 -7.081911489557565255e-05 -7.587733168359118844e-05 -7.921945682748080680e-05 -8.451964088867586428e-05 -8.926942025454378616e-05 -9.457709099888530623e-05 -9.929090623643888438e-05 -1.054446072840293808e-04 -1.157173027588819875e-04 -1.110432514605824055e-04 -1.242401385990001862e-04 -1.275721741304284781e-04 -1.384720024043350030e-04 -1.403300877806206424e-04 -1.565942980505642896e-04 -1.568090781412963806e-04 -1.634075933696939179e-04 -1.754927613740533152e-04 -1.798310213358012423e-04 -1.891990971386992406e-04 -1.971947642728583074e-04 -2.039097009055515367e-04 -2.145407559042305558e-04 -2.187168136333058959e-04 -2.265209853641434357e-04 -2.373605517908964127e-04 -2.423502976473880825e-04 -2.502010557241072662e-04 -2.604407502581632334e-04 -2.654832348581477467e-04 -2.728503671417171930e-04 -2.789400297026003875e-04
-2.603113452303256192e+00 9.966895676217131528e-05 9.129382925251777661e-05 8.329069647741013855e-05 7.565849918773358859e-05 6.839945283095081718e-05 6.151358573406658797e-05 4.714423780427871147e-05 3.839354430466659533e-05 3.746472781455830153e-05 3.654758246469339434e-05 3.240178210096551022e-05 3.158938849524037078e-05 2.770897570872980076e-05 2.699723278523846886e-05 2.629522230552367489e-05 2.275817729869626752e-05 1.938250120166663774e-05 1.885920659373786510e-05 1.572294081923963558e-05 1.273932412804211068e-05 9.905329810305524979e-06 7.217671747536866901e-06 4.673115566311244925e-06 0.000000000000000000e+00 -2.201084474340448155e-06 -4.270009799738535925e-06 -8.279962077851123163e-06 -1.203642221364027186e-05 -1.554602497892195267e-05 -2.069662974288518148e-05 -2.549227402154651789e-05 -2.818151715398101932e-05 -3.405768350185600749e-05 -3.949304100227702953e-05 -4.291146332716590955e-05 -4.909315734418423028e-05 -5.328415404523958386e-05 -5.994159977366758776e-05 -6.464181901569154994e-05 -7.020616108305280574e-05 -7.650289949720072988e-05 -8.340682542505460835e-05 -8.961873131823964425e-05 -9.629987562102252827e-05 -1.044310304700689899e-04 -1.106439478888465879e-04 -1.181117338372707161e-04 -1.246948574580338659e-04 -1.377872291790688979e-04 -1.494485789783017401e-04 -1.513393535654670606e-04 -1.607148600418056828e-04 -1.688540951130280152e-04 -1.758267524932757733e-04 -1.956810405292707343e-04 -1.998734141701920275e-04 -2.094805841376520198e-04 -2.236602308189005969e-04 -2.358877300416423184e-04 -2.463007015600798561e-04 -2.498347460256376351e-04 -2.622418726232944499e-04 -2.774492556058247338e-04 -2.815170660385989685e-04 -2.929668862227360654e-04 -3.025956679286105448e-04 -3.105953293792756346e-04 -3.208072704942150732e-04
-2.482103736856013043e+00 1.529636714261208301e-04 1.323157990886630062e-04 1.278055085914453395e-04 1.225304473572282548e-04 1.107610157333873904e-04 1.048388365945669931e-04 9.372598278550945544e-05 8.325285562113334697e-05 8.123575840084045038e-05 7.924369818626153148e-05 7.727706536469117053e-05 7.533609318101361688e-05 7.342116955886342396e-05 7.153203744182626994e-05 6.966869057031739891e-05 6.443965482926696637e-05 6.271858667384294748e-05 6.102212053755424163e-05 5.622627955315149493e-05 5.466505507334517552e-05 5.017568870870052912e-05 4.587813620863345998e-05 4.176870995159679632e-05 4.054563614625937996e-05 3.671909629489952272e-05 3.052658356889419552e-05 2.712864279265812594e-05 2.389908849005181298e-05 1.851916154548160538e-05 1.344703548900258054e-05 8.675077153939733700e-06 4.195369989795590068e-06 -2.027881340644081062e-06 -7.837681613835746706e-06 -1.324599805298852390e-05 -2.009082881128056823e-05 -2.642876083612251986e-05 -3.397448855973873665e-05 -4.092151989648835139e-05 -4.728974585793091923e-05 -5.613362230992128578e-05 -6.274839428183957520e-05 -7.153873509949866560e-05 -7.950362790021949053e-05 -8.926394124339204065e-05 -9.929291044372321709e-05 -1.082914994016599697e-04 -1.174404148023356823e-04 -1.288263051993689405e-04 -1.389398888730595269e-04 -1.498404202331473950e-04 -1.622764526109407406e-04 -1.731972675623436888e-04 -1.826873311416923624e-04 -1.991271599430623814e-04 -2.056099902065913808e-04 -2.184598588700721253e-04 -2.366736604021962690e-04 -2.525071585545464047e-04 -2.661257622196948900e-04 -2.776963562485300439e-04 -2.932482543418740814e-04 -3.064946234187126864e-04 -3.176351034667390595e-04 -3.318984622334378992e-04 -3.439561680887323028e-04 -3.540353255296470694e-04 -3.709982916237001649e-04
-2.373807206324606067e+00 1.912930480167772537e-04 1.904308503729056957e-04 1.737106332646632984e-04 1.656523749266694014e-04 1.568582717435595747e-04 1.410328737145349941e-04 1.375271475025184728e-04 1.221398910403027709e-04 1.241418694877639904e-04 1.162492190816462887e-04 1.180829935883168319e-04 1.105079221490088770e-04 1.121813210301925439e-04 1.092898564800753690e-04 1.064375563794482888e-04 1.036250101962151810e-04 9.681791784490823623e-05 9.419411058302857372e-05 9.160759891426680554e-05 8.905842981031269372e-05 8.294131546066167975e-05 8.057184999089319309e-05 7.483782307076225038e-05 7.264106402543671077e-05 6.727524065454229627e-05 6.524586040634723313e-05 5.722538218324212057e-05 5.253081809213791076e-05 4.805062841255442423e-05 4.104320892794633422e-05 3.441798525394199591e-05 2.816522746815470319e-05 2.227482932007840413e-05 1.434675631809344949e-05 9.235593052212257064e-06 2.228245913699258423e-06 -6.447640324817868816e-06 -1.450267729796080661e-05 -2.395238266443786373e-05 -3.267198195266089289e-05 -4.253536677695747754e-05 -5.157614017764093400e-05 -6.153194022413657532e-05 -7.058871814648976731e-05 -8.193350470412806216e-05 -9.370116589242498981e-05 -1.057518121847370106e-04 -1.179481737091993851e-04 -1.301709757754976836e-04 -1.435769336593369593e-04 -1.578948010951026105e-04 -1.705533299449566017e-04 -1.860687662364461539e-04 -2.007465665873119174e-04 -2.155545804630810199e-04 -2.303108246670602889e-04 -2.466981295432057000e-04 -2.608378125279829218e-04 -2.811497388942733097e-04 -2.986975238173978264e-04 -3.136880025125501816e-04 -3.263221395961981371e-04 -3.435349782702172691e-04 -3.581043528763543158e-04 -3.763460485595642520e-04 -3.918201825994258947e-04 -4.102788586154591452e-04 -4.207934355976960237e-04
