logk z475 z450 z425 z400 z375 z350 z325 z300 z295 z290 z285 z280 z275 z270 z265 z260 z255 z250 z245 z240 z235 z230 z225 z220 z215 z210 z205 z200 z195 z190 z185 z180 z175 z170 z165 z160 z155 z150 z145 z140 z135 z130 z125 z120 z115 z110 z105 z100 z095 z090 z085 z080 z075 z070 z065 z060 z055 z050 z045 z040 z035 z030 z025 z020 z015 z010 z005 z000
-4.441842715412877673e+00 -4.357666361403735608e-05 -5.237332203931977323e-05 -5.913983387984453989e-05 -6.609412632165922259e-05 -7.092873718090366439e-05 -7.718353913855023347e-05 -8.397401009330212251e-05 -9.187144129461933802e-05 -9.223636158781856813e-05 -9.376833399545305369e-05 -9.514001342851912074e-05 -9.635559074625980663e-05 -9.741881235387784546e-05 -9.833336390364911216e-05 -1.002165792466178654e-04 -1.018996701065412686e-04 -1.033877421039476743e-04 -1.046858194777701927e-04 -1.097908485440401044e-04 -1.067303168478187235e-04 -1.131435037978981584e-04 -1.099052068699103474e-04 -1.067178913557606605e-04 -1.208427923060960630e-04 -1.172391848194269951e-04 -1.136954263178631202e-04 -1.259535075780795479e-04 -1.220367942449411596e-04 -1.181875933949937037e-04 -1.215549018509764210e-04 -1.314437716568899112e-04 -1.271128328805531797e-04 -1.293259533125426075e-04 -1.311823592840783239e-04 -1.326931894152701694e-04 -1.338691983525247553e-04 -1.347247407181884115e-04 -1.352729675269982452e-04 -1.407397177625324290e-04 -1.405185135453631477e-04 -1.400326906190856046e-04 -1.439400097671128260e-04 -1.427832017989739933e-04 -1.456907673194499727e-04 -1.480482310941294176e-04 -1.498765493335915406e-04 -1.512075818362693949e-04 -1.556823142604720335e-04 -1.559362327926525787e-04 -1.557743396412043107e-04 -1.583902485602777541e-04 -1.603589623674254539e-04 -1.617202416621701911e-04 -1.652696791746167265e-04 -1.654105533077147806e-04 -1.675672367458140913e-04 -1.690437958404867604e-04 -1.698921641892534127e-04 -1.744725172516848222e-04 -1.740086374089584243e-04 -1.750301931550842492e-04 -1.772954689030467102e-04 -1.788359885892772171e-04 -1.780637156616364308e-04 -1.800481396731375930e-04 -1.798744481204958762e-04 -1.821234460511706268e-04 -1.837358640012219419e-04
-3.883321290966510020e+00 -3.750495601638588678e-05 -4.417123716990100198e-05 -4.925700290033857884e-05 -5.491538455863610008e-05 -6.252160675210712796e-05 -6.946178694890739686e-05 -7.542186335506264792e-05 -8.277737817242089287e-05 -8.334011812187041039e-05 -8.505305189238234571e-05 -8.660590840662550389e-05 -8.800304448637427830e-05 -9.040700544547835464e-05 -9.147358875894774644e-05 -9.239562051331497801e-05 -9.424788056355847855e-05 -9.486345663491051032e-05 -9.636036756249939086e-05 -9.865824790952335726e-05 -9.592510175421883455e-05 -9.323226962063386146e-05 -9.963903503315777051e-05 -1.055650369578890974e-04 -1.110204919348490346e-04 -1.077313843282654091e-04 -1.125356699070723527e-04 -1.169020946290461353e-04 -1.132917679636598920e-04 -1.170600373002101422e-04 -1.204234657204422275e-04 -1.165417272116200991e-04 -1.259926063901827323e-04 -1.282199229872449018e-04 -1.239003842497214268e-04 -1.256473081716288930e-04 -1.270596662350756032e-04 -1.281519103352779846e-04 -1.289372883051847411e-04 -1.397823022348331325e-04 -1.346227200310523727e-04 -1.391745034554943005e-04 -1.431087374943958200e-04 -1.420114144061181377e-04 -1.449590493224109074e-04 -1.473634230278537049e-04 -1.531727379087952957e-04 -1.544020595029434151e-04 -1.551637973498281632e-04 -1.589446081389268590e-04 -1.620164103021258138e-04 -1.644175196894901803e-04 -1.661859866735861048e-04 -1.702478842155797408e-04 -1.734937374488016370e-04 -1.759774963470496826e-04 -1.777464014162605580e-04 -1.812436659109623439e-04 -1.839063762799105070e-04 -1.879591637245467991e-04 -1.890413554140482437e-04 -1.914428939509570159e-04 -1.949381077683006000e-04 -1.957984481731300753e-04 -1.977274752120007986e-04 -1.989576218871312412e-04 -2.010899687830201398e-04 -2.025441563957862455e-04 -2.047831899271271338e-04
-3.543321992868103010e+00 -2.519010658693997913e-05 -3.172017042656083836e-05 -3.945473555977023684e-05 -4.538597789038099597e-05 -5.181604441804806986e-05 -5.823275244572478768e-05 -6.419637847877363761e-05 -7.242072437762360005e-05 -7.366997508322964308e-05 -7.479349300089577690e-05 -7.722416319305832819e-05 -7.806945397173624802e-05 -8.015721687565259405e-05 -8.206159918833058392e-05 -8.378701860406765701e-05 -8.533783119079648837e-05 -8.549691422417539041e-05 -8.793287637661815061e-05 -9.014110556083450429e-05 -9.212686099967234781e-05 -9.280514474718398233e-05 -9.545739478560987413e-05 -9.784428450420426017e-05 -9.997100849079253713e-05 -9.699603293833973646e-05 -1.034782814119803758e-04 -1.094311405639786185e-04 -1.060361053932422283e-04 -1.112570767066035752e-04 -1.077046077901451960e-04 -1.202486744033187308e-04 -1.240492787350298126e-04 -1.199094684950696634e-04 -1.303299521796143353e-04 -1.258503640834657104e-04 -1.282046958412901136e-04 -1.301693505085266289e-04 -1.380331532727193571e-04 -1.329883697586296202e-04 -1.396932571172810852e-04 -1.456288930298293342e-04 -1.454392672424545396e-04 -1.501349923481810954e-04 -1.541456480526993218e-04 -1.575054951195484459e-04 -1.602384351338570262e-04 -1.667690691130471693e-04 -1.723648674219307162e-04 -1.730511128889109407e-04 -1.770967684467437237e-04 -1.840224365347200685e-04 -1.863490534115491508e-04 -1.913287789494683448e-04 -1.953453375518578920e-04 -2.015137967438780469e-04 -2.065493609403414618e-04 -2.105350645616413006e-04 -2.161825854891950068e-04 -2.206741604529034273e-04 -2.241019244000250741e-04 -2.310907721238982773e-04 -2.345945130708916777e-04 -2.391481431936899051e-04 -2.445438589951714949e-04 -2.487642418839765583e-04 -2.519438178616216040e-04 -2.558696341566537701e-04 -2.588436961549182998e-04
-3.284361158134804448e+00 -1.183098258306442609e-05 -1.444517874126635889e-05 -2.305593204533363852e-05 -3.289960685274451310e-05 -3.784070146296832857e-05 -4.616597641264557738e-05 -5.428863968122424268e-05 -6.170304255799838712e-05 -6.396616568273537102e-05 -6.422790264161969966e-05 -6.620768637865601775e-05 -6.802821952698585677e-05 -6.969310389570509360e-05 -7.286191676429469263e-05 -7.418301921845212444e-05 -7.535984328722715193e-05 -7.792404243322470741e-05 -7.878200058327806043e-05 -8.239798375357633919e-05 -8.431774303248676123e-05 -8.603401626436295410e-05 -8.887904297710749627e-05 -9.145506954055254039e-05 -9.376787456973256416e-05 -9.582511801998953133e-05 -9.881225327037955139e-05 -1.014857399152078608e-04 -1.038561571062302636e-04 -1.070029127213912809e-04 -1.108312708975416186e-04 -1.132481835149089141e-04 -1.163038633576931181e-04 -1.217849934290201426e-04 -1.176539797814950787e-04 -1.223423314730561178e-04 -1.264974132965420014e-04 -1.382737741588376305e-04 -1.411299809465471188e-04 -1.435169975685605254e-04 -1.527256069266597397e-04 -1.539559688969685688e-04 -1.547805316099228360e-04 -1.681498348333288558e-04 -1.677034262013721039e-04 -1.728850646513272425e-04 -1.772578219655876898e-04 -1.863473190562451925e-04 -1.889932440539698346e-04 -1.959813773711670498e-04 -2.018881354316220554e-04 -2.067696386830272944e-04 -2.150721707097681429e-04 -2.220662646478226295e-04 -2.318275213630788636e-04 -2.362543784733525979e-04 -2.432370138857374380e-04 -2.523397612706022993e-04 -2.565755727815849548e-04 -2.659270781056213666e-04 -2.736165281453387869e-04 -2.797791741025864795e-04 -2.872332877492449698e-04 -2.931560822203309498e-04 -3.001156920104693223e-04 -3.078930945980553561e-04 -3.141272197431777924e-04 -3.210648609664276286e-04 -3.266070670599877427e-04
-3.056919578579056829e+00 9.872935322491191833e-06 4.521746207954212109e-06 0.000000000000000000e+00 -3.747430667892644266e-06 -1.693970650308106632e-05 -2.132842576494008849e-05 -2.996838335783019960e-05 -4.114733287202338628e-05 -4.251389378317671952e-05 -4.147312542079227619e-05 -4.493947776589132716e-05 -4.819403796857636208e-05 -4.910610870312510820e-05 -4.992500848715229961e-05 -5.267903274408615780e-05 -5.523761051389398973e-05 -5.760534579206048048e-05 -5.978671092671226125e-05 -6.360323215600773646e-05 -6.537420106659909478e-05 -6.697308285619377286e-05 -7.174145716653450387e-05 -7.453460434485663073e-05 -7.707523096890379595e-05 -7.937053067952755088e-05 -8.290940967338686373e-05 -8.756121216145571883e-05 -9.042113301055742299e-05 -9.432652886709443692e-05 -9.915690544647289570e-05 -1.022733084601223550e-04 -1.074777656407667438e-04 -1.121744065232499997e-04 -1.163825564398289448e-04 -1.212196015783876694e-04 -1.265843657234985026e-04 -1.323848830711021754e-04 -1.385315656283280894e-04 -1.430335511470830613e-04 -1.469399752846734257e-04 -1.591132093840116001e-04 -1.615611916527863673e-04 -1.716646983938871301e-04 -1.806308734486509549e-04 -1.809709094202316090e-04 -1.953457082611217423e-04 -2.011897954998656069e-04 -2.127305974451208326e-04 -2.164433277063889630e-04 -2.314969946189358310e-04 -2.446910787353784658e-04 -2.449834091671017258e-04 -2.605599927532209893e-04 -2.740643763917568164e-04 -2.807778533131118602e-04 -2.953350921086045204e-04 -3.077396546829008978e-04 -3.139474310352660408e-04 -3.266580914768575173e-04 -3.410369830819324479e-04 -3.494909897524996743e-04 -3.630174322477514644e-04 -3.742533283073320679e-04 -3.834071335957437853e-04 -3.936267764029096846e-04 -4.046826017989499868e-04 -4.137283614107946090e-04 -4.235333331096872121e-04
-2.873808408957115201e+00 3.955886217931194965e-05 3.104866879085651485e-05 2.359753924957348978e-05 2.142699501473564210e-05 1.161784268295164617e-05 3.481124472714135862e-06 -3.110976302075752440e-06 -1.381114365964410236e-05 -1.617041460991512525e-05 -1.840122289320690816e-05 -2.306944029796563757e-05 -2.248794084269273489e-05 -2.678402941530701238e-05 -2.846434840552710234e-05 -3.003006471702909439e-05 -3.373269091625919744e-05 -3.720543418627697947e-05 -3.832429164412538180e-05 -4.348163677975766615e-05 -4.629513147128600946e-05 -4.889942074723998704e-05 -5.319997873249746929e-05 -5.719193152552417902e-05 -6.088214650830932030e-05 -6.427868460222522086e-05 -6.907537558268623385e-05 -7.349032503174083696e-05 -7.911742929444540520e-05 -8.275266000888720718e-05 -8.900571719255292395e-05 -9.329315514887970826e-05 -9.993698426250538849e-05 -1.059865639544143478e-04 -1.127595171198816606e-04 -1.188884308565752481e-04 -1.268072296310994483e-04 -1.339524657118837511e-04 -1.414736844463353074e-04 -1.503556888394695342e-04 -1.593453720569320024e-04 -1.683596165378070057e-04 -1.831034105716239520e-04 -1.852280625809939716e-04 -1.956860135219931596e-04 -2.048935414479270938e-04 -2.210894807262392490e-04 -2.354677184639099210e-04 -2.481007151261392001e-04 -2.590785454277684226e-04 -2.753645155150601662e-04 -2.829682732481726020e-04 -2.954553333892866326e-04 -3.120536757641236567e-04 -3.320452299008498729e-04 -3.438554967523795806e-04 -3.588115575815083126e-04 -3.763195988082885580e-04 -3.911118700473558058e-04 -4.078586803822239603e-04 -4.260903716911178881e-04 -4.453964304248881441e-04 -4.577196028133369396e-04 -4.748719761356772536e-04 -4.925168751900735418e-04 -5.071261206184974994e-04 -5.221515890269594730e-04 -5.344513390516344477e-04 -5.471848323766512591e-04
-2.729578190769943458e+00 6.930814720054744060e-05 6.348675004817750604e-05 5.265763062926919689e-05 4.783453080045158283e-05 3.892253766784593263e-05 2.722702476857322151e-05 1.739018532776527456e-05 6.180374221679908819e-06 6.030962963968652428e-06 2.941708573777054692e-06 0.000000000000000000e+00 0.000000000000000000e+00 -5.452116784360876449e-06 -7.968265056380437954e-06 -1.034829783447455113e-05 -1.259504536125028068e-05 -1.716336210680751573e-05 -1.908610936872691795e-05 -2.320567889486102879e-05 -2.933203069246717305e-05 -3.070222569452784380e-05 -3.622173240424711785e-05 -4.138678851544592372e-05 -4.419640884813327467e-05 -4.873669611008046230e-05 -5.483902384129828774e-05 -6.050455298603040887e-05 -6.752266454109661156e-05 -7.229575162331965273e-05 -8.000146673635450290e-05 -8.710422025450283970e-05 -9.362185515426837848e-05 -1.010784467668124120e-04 -1.078841441970050435e-04 -1.182835370409315607e-04 -1.264178683145711574e-04 -1.363968415753324254e-04 -1.467013693915695551e-04 -1.560073814155025606e-04 -1.678723938965753857e-04 -1.796769548799307466e-04 -1.924248747158171797e-04 -2.038183013938513969e-04 -2.179311115328521383e-04 -2.314479975616279153e-04 -2.406092979339001254e-04 -2.662477717477065940e-04 -2.721736484667294895e-04 -2.932575229352507129e-04 -3.118713867689426340e-04 -3.355892419212976258e-04 -3.492901959815803412e-04 -3.677046419879412167e-04 -3.900257466432284254e-04 -4.093175617168369148e-04 -4.316627657373128335e-04 -4.507880414653626456e-04 -4.669072844537573361e-04 -4.904465205083190227e-04 -5.104136648894910464e-04 -5.317120095679557425e-04 -5.539289529943915982e-04 -5.725426272285684490e-04 -5.918464390878700517e-04 -6.115769437362799472e-04 -6.315351537201054554e-04 -6.447288524572562709e-04 -6.617983638191087458e-04
-2.603113452303256192e+00 9.966895676217131528e-05 9.129382925251777661e-05 8.329069647741013855e-05 7.565849918773358859e-05 6.839945283095081718e-05 5.711988366683348625e-05 4.714423780427871147e-05 3.490328300634002319e-05 3.065306352080807904e-05 2.990266682184714882e-05 2.592150967031119530e-05 2.527159062693399029e-05 2.155149190291039005e-05 1.799823617331361536e-05 1.460854219907401740e-05 1.137915339117737659e-05 5.537895821033373878e-06 2.694194146421208009e-06 0.000000000000000000e+00 -5.095775092825959877e-06 -9.905427926947075941e-06 -1.443549978119911548e-05 -1.869268064773138709e-05 -2.495142977488089086e-05 -3.081562352360858140e-05 -3.629566448692425585e-05 -4.347056577627840925e-05 -5.015271502778059982e-05 -5.635549044851065955e-05 -6.773601771265892540e-05 -7.465778060453570923e-05 -8.278546679439972508e-05 -9.195840761762514876e-05 -1.036725593651793582e-04 -1.128452011391957476e-04 -1.242717256575217189e-04 -1.361762596558117227e-04 -1.484333857954537499e-04 -1.609246154177253587e-04 -1.761870607747090354e-04 -1.899929810322425225e-04 -2.060765606245409823e-04 -2.228824846589244960e-04 -2.390673439165453141e-04 -2.567458350019840153e-04 -2.755887856982544007e-04 -2.953054956789488879e-04 -3.165634664236080271e-04 -3.399095138490609586e-04 -3.604728387584706919e-04 -3.783913368307396268e-04 -4.018355903591395756e-04 -4.298665177153401557e-04 -4.542823516164683890e-04 -4.822830955405346481e-04 -5.064235941699994289e-04 -5.333096433233928610e-04 -5.622681925503440412e-04 -5.869456553265654320e-04 -6.131275168807175753e-04 -6.351189760057878537e-04 -6.631595339616181643e-04 -6.961200994158629621e-04 -7.151189860444474205e-04 -7.389508084617414999e-04 -7.627165183095033696e-04 -7.824246356632583469e-04 -8.022112287625023704e-04
-2.482103736856013043e+00 1.529636714261208301e-04 1.323157990886630062e-04 1.278055085914453395e-04 1.225304473572282548e-04 1.107610157333873904e-04 9.959715579727074350e-05 9.372598278550945544e-05 7.492788194893758313e-05 7.311247952054767318e-05 7.131961094196403745e-05 6.954962755122397959e-05 6.403604101242134545e-05 6.240833777409614432e-05 5.722603929419519390e-05 5.573534074900355175e-05 5.087375678346704158e-05 4.621407681603403801e-05 4.175237949003140901e-05 3.436087982920314852e-05 3.036984396215406870e-05 2.361240241536446244e-05 1.720454773588237649e-05 1.113849324043586303e-05 5.406179804051331061e-06 -2.622844185910874866e-06 -1.017573494258140061e-05 -1.726406497247360154e-05 -2.628965705285785009e-05 -3.703935200097599050e-05 -4.706604824239046266e-05 -5.638983596391801450e-05 -6.712831369901996507e-05 -7.909041965650408983e-05 -9.013704756328071448e-05 -1.040804258773970749e-04 -1.187243887773065690e-04 -1.339129180392499270e-04 -1.494963843346308456e-04 -1.653332245791252456e-04 -1.844426565916963169e-04 -2.033097005454299487e-04 -2.218259201007231896e-04 -2.426913784227821352e-04 -2.627903089971269810e-04 -2.859314624948723258e-04 -3.103230860591292680e-04 -3.344324409213898525e-04 -3.603463925669604878e-04 -3.876208156140968013e-04 -4.158325696519459339e-04 -4.395955791527312337e-04 -4.773588779151333780e-04 -5.014427981642992490e-04 -5.307555560272054487e-04 -5.642966358330933629e-04 -6.011326785887217711e-04 -6.329114135326265435e-04 -6.743088589959169137e-04 -7.099121781864247511e-04 -7.401348162264724095e-04 -7.777442107520954892e-04 -8.154430096435091955e-04 -8.472687240408286824e-04 -8.790371403180879256e-04 -9.104697092957460660e-04 -9.413834251946791168e-04 -9.670851311841597957e-04 -9.968305070162468938e-04
-2.373807206324606067e+00 1.902535107770972496e-04 1.809101690729586509e-04 1.737106332646632984e-04 1.656523749266694014e-04 1.568582717435595747e-04 1.410328737145349941e-04 1.317972272916916650e-04 1.119621365581412018e-04 1.142110870412927606e-04 1.065623002967573641e-04 1.039137705573813089e-04 1.012993950528992006e-04 9.872022695738175179e-05 9.180428207841840715e-05 8.515095140027165784e-05 8.290086719054297608e-05 7.261431715468420831e-05 7.064641472372231096e-05 6.488958276376561088e-05 5.937316779866405142e-05 5.048683737099802572e-05 4.554140853352207832e-05 3.741961162285121052e-05 2.971743670815173413e-05 1.922195916666208525e-05 1.242811114492063613e-05 3.011943863226740443e-06 -8.755404638286078760e-06 -1.978622398341724911e-05 -3.283578005807852188e-05 -4.500992204775030773e-05 -5.889349369432957175e-05 -7.425301470641339631e-05 -8.847621251086155352e-05 -1.039062997015209155e-04 -1.203326530790997911e-04 -1.418576911815389583e-04 -1.595410194738686941e-04 -1.796568558893270383e-04 -2.018146022595919994e-04 -2.256430373729349141e-04 -2.490128432346317040e-04 -2.735042752092957169e-04 -3.004469787044976021e-04 -3.277743051140377369e-04 -3.567158599536453647e-04 -3.882943783772032330e-04 -4.205141576081443964e-04 -4.530149818185536599e-04 -4.879914799997588093e-04 -5.247928282137251941e-04 -5.604987773408184361e-04 -5.993095380416833817e-04 -6.383023909997745382e-04 -6.780457028821781917e-04 -7.198975176886056836e-04 -7.677052389079839275e-04 -8.088187773786916857e-04 -8.436864633852295603e-04 -8.884940611151670529e-04 -9.338847667327662043e-04 -9.721863247485722096e-04 -1.010734081072922575e-03 -1.049096529931868148e-03 -1.086933527784464133e-03 -1.124013364404171213e-03 -1.165632049497687846e-03 -1.195308297957118357e-03
