logk z300 z275 z250 z225 z200 z175 z150 z125 z100 z075 z050 z0375 z025 z0125 z000
-3.3010299956639813 -1.3153941703261039e-23 0.0 0.0 -6.576970851630519e-24 6.576970851630519e-24 1.3153941703261039e-23 1.3153941703261039e-23 -1.3153941703261039e-23 1.3153941703261039e-23 0.0 0.0 0.0 -1.3153941703261039e-23 0.0 -6.576970851630519e-24
-3.136905411806241 -1.6628777300620506e-07 -2.1588677135075216e-07 -2.1535578882806622e-07 -2.1447583327209983e-07 -2.2010400843251977e-07 -2.3705328124782952e-07 -2.479883475971614e-07 -2.5600043245773766e-07 -2.6728019483267406e-07 -2.810335424466732e-07 -2.7012643630605634e-07 -2.6582855879280474e-07 -2.8223850775208484e-07 -2.94999215267647e-07 -1.7392758212589947e-07
-2.9727808279485006 6.612179085984453e-08 8.584407432125989e-08 8.56329372383552e-08 8.528303636359041e-08 8.75209941770368e-08 9.426061340495517e-08 9.86087753721135e-08 1.0179465843449976e-07 1.062798835067991e-07 1.1174869193519547e-07 1.0741164791759908e-07 1.057026626270097e-07 1.1222782796833516e-07 1.1730192823628527e-07 6.91596441649261e-08
-2.8086562440907605 5.985352281621872e-07 7.770615699014655e-07 7.751503545449759e-07 7.71983047713323e-07 7.922410681490945e-07 8.532481806282302e-07 8.926077938700395e-07 9.214464448026068e-07 9.620467548834078e-07 1.0115504730661732e-06 9.722914996344965e-07 9.56821744693998e-07 1.0158876180706663e-06 1.0618184333450569e-06 6.260339119914617e-07
-2.64453166023302 -7.599113720344059e-07 -9.86571710327171e-07 -9.8414519603784e-07 -9.801239248296513e-07 -1.0058438814499433e-06 -1.0832996373796763e-06 -1.1332713287589214e-06 -1.1698854122191018e-06 -1.2214323152030036e-06 -1.2842831494313878e-06 -1.2344392322124609e-06 -1.2147985458355433e-06 -1.2897896687739447e-06 -1.3481042795295932e-06 -7.948242085302754e-07
-2.48040707637528 -4.909239330336776e-06 -6.37352830971515e-06 -6.357852350882062e-06 -6.331873817727149e-06 -6.498031908343507e-06 -6.998417686691872e-06 -7.321248745352927e-06 -7.5577859326906276e-06 -7.890793297494434e-06 -8.296827209728731e-06 -7.97482160776739e-06 -7.847937297853408e-06 -8.332400859926078e-06 -8.709129503805287e-06 -5.1347859879690815e-06
-2.31628249251754 -1.1849448646744919e-05 -1.5383808228262466e-05 -1.5345971109987685e-05 -1.528326663097916e-05 -1.568432301253159e-05 -1.6892105967308354e-05 -1.7671324455911967e-05 -1.8242255116611964e-05 -1.9046036191990882e-05 -2.002608170782585e-05 -1.9248855627030283e-05 -1.894259451135959e-05 -2.011194595538573e-05 -2.1021257239482015e-05 -1.2393851426324953e-05
-2.1521579086597997 -2.158053932125884e-05 -2.8017411465969122e-05 -2.7948501473354714e-05 -2.78343023645857e-05 -2.8564717194014202e-05 -3.0764364479229125e-05 -3.218349846043606e-05 -3.3223292963983114e-05 -3.468716099869235e-05 -3.647204664372275e-05 -3.505654129000115e-05 -3.44987701863541e-05 -3.6628424955152904e-05 -3.828448748655979e-05 -2.257202052359789e-05
-1.9880333248020592 -3.4102511353878565e-05 -4.427433802283516e-05 -4.416544344098319e-05 -4.3984981018546804e-05 -4.5139214452791384e-05 -4.8615193222454226e-05 -5.085777075892524e-05 -5.250089947480414e-05 -5.481416771759889e-05 -5.7634722017419496e-05 -5.539787859668004e-05 -5.4516464322836986e-05 -5.788183785922766e-05 -6.049882024503866e-05 -3.5669293279787934e-05
-1.8239087409443189 -4.9415364744604075e-05 -6.415458789886054e-05 -6.399679701287307e-05 -6.373530259286243e-05 -6.54078147888631e-05 -7.044459219698362e-05 -7.369414135137946e-05 -7.607507464907497e-05 -7.942705634871044e-05 -8.3514107828916e-05 -8.02728675470669e-05 -7.89956769208082e-05 -8.387218466760994e-05 -8.766425551491858e-05 -5.168566969489505e-05
-1.8038801303781127 -5.147510847540736e-05 -6.682869565684032e-05 -6.666432769123661e-05 -6.639193359467717e-05 -6.813415986702249e-05 -7.338088150490732e-05 -7.67658791889922e-05 -7.924605515055825e-05 -8.273775499913941e-05 -8.699516399278906e-05 -8.361882151377779e-05 -8.228839470482421e-05 -8.736816628083377e-05 -9.131829918424327e-05 -5.3840044850813614e-05
-1.5028501208901086 -4.501677465863663e-05 -6.0681538665121985e-05 -6.011969006249362e-05 -6.0899875656419114e-05 -6.219473763198474e-05 -6.564907092009126e-05 -6.824121184985019e-05 -7.340427056330913e-05 -8.120182484894511e-05 -8.736866653559157e-05 -7.631841878958339e-05 -7.02931507173218e-05 -6.735859277696688e-05 -6.666137657290103e-05 -3.150203500974027e-05
-1.326758866442435 -1.2852026241045255e-06 -1.8424180967309028e-05 -1.905371522676272e-05 -2.1007557204991742e-05 -2.2706581027583803e-05 -2.3752207121345115e-05 -2.9777963579032767e-05 -3.9181159284961614e-05 -5.114930058972708e-05 -5.918261339044533e-05 -4.99213885794803e-05 -4.628849684550215e-05 -4.5584462808594436e-05 -4.722895056527355e-05 -1.3527260272708765e-05
-1.2018201321381388 -2.968319087341978e-05 -4.74683393559889e-05 -4.945748783112865e-05 -5.268702182589239e-05 -5.772477764319687e-05 -6.528298392463361e-05 -7.528022606184306e-05 -8.717393203070061e-05 -0.00010184596660056407 -0.00011732889967113322 -0.0001264533415956517 -0.0001308404026509225 -0.00013759628141961315 -0.00014548241877427698 -0.00011801400225903382
-1.1049101205124847 -7.912677708409966e-05 -9.723870097616303e-05 -0.00010028024023784539 -0.00010647047850387819 -0.00011606254836579074 -0.0001313700943441216 -0.00014570438405837912 -0.0001631537710660981 -0.00018576363509466718 -0.00021169043848644944 -0.00022943271159207233 -0.00023605544035265556 -0.000244582294437821 -0.0002538542252144613 -0.0002279334870305422
-1.0257288707784538 -4.1793652251412824e-05 -6.250793994344551e-05 -6.755567171158871e-05 -7.576752572544623e-05 -8.724676856283178e-05 -0.0001022959274438079 -0.00012289021125521407 -0.00014826231309640806 -0.00017921488975581205 -0.00021064554943906299 -0.0002285338877840164 -0.00023495748536311368 -0.00024368806465119644 -0.0002538616030913909 -0.00023163852402728637
-0.9587820943135766 -6.49265489183011e-05 -8.562755818022906e-05 -9.193037647534548e-05 -0.00010223315959599757 -0.0001174786013612951 -0.0001402488359903514 -0.00016733336742718918 -0.00020034079896630934 -0.0002402866569855726 -0.0002835222212257517 -0.00031855368127848963 -0.00033382668000980043 -0.0003514351029768326 -0.00036797163987979735 -0.0003520845488424583
-0.900790122650135 -9.364481176026365e-05 -0.00011446178149076881 -0.00012187383171740493 -0.00013465099223607607 -0.00015477239706070074 -0.0001849003182897934 -0.00021676963380255028 -0.00025693756447095153 -0.00030487743769806215 -0.00036076570424806425 -0.00040940163225225824 -0.00043067752000044686 -0.0004533861669233054 -0.0004775573743068161 -0.0004711575632110488
-0.8496376117227724 -9.399113109192425e-05 -0.00011808186516161322 -0.00012877798199322882 -0.000146261271644034 -0.0001721274792664227 -0.00020914829297245482 -0.00025121247128833004 -0.0003026486267933141 -0.00036414521986908314 -0.00043438347856337707 -0.0004989056911208046 -0.0005279924520237468 -0.0005575128846531782 -0.0005866203913254434 -0.0005849621516421295
-0.8038801303781126 -5.2899750933172154e-05 -8.352812416982998e-05 -0.00010120478171594488 -0.0001264432291829244 -0.00016094198961335763 -0.00020651348309079585 -0.0002662661769903906 -0.0003381235369421731 -0.0004218732686583254 -0.0005114045937165815 -0.0005930729215979593 -0.0006317436653641736 -0.0006707040236371331 -0.0007085845870439706 -0.0007219601707560621
-0.7624874276256768 -9.532104743849106e-05 -0.00012658121822040736 -0.00014589855854847772 -0.00017436647107064044 -0.00021452426799274457 -0.0002688180529777397 -0.00033420368828695064 -0.00041272012156264525 -0.0005023267726534642 -0.0006044290579425238 -0.0007027233842612681 -0.0007439775652657446 -0.0007836874900909756 -0.0008269305723626472 -0.0008427299414032146
