logk z300 z275 z250 z225 z200 z175 z150 z125 z100 z075 z050 z0375 z025 z0125 z000
-3.3010299956639813 -1.3153941703261039e-23 1.3153941703261039e-23 -2.6307883406522077e-23 -2.6307883406522077e-23 0.0 1.3153941703261039e-23 -2.6307883406522077e-23 -1.3153941703261039e-23 0.0 0.0 1.3153941703261039e-23 1.3153941703261039e-23 3.9461825109783113e-23 3.9461825109783113e-23 0.0
-3.136905411806241 -2.8012111380684543e-07 -3.3262302179715247e-07 -3.3208103940019676e-07 -3.350491064228003e-07 -3.4333417312068074e-07 -3.592594515116198e-07 -3.713845133399246e-07 -3.8211305659168205e-07 -3.924053702531804e-07 -4.0749765028275417e-07 -4.112621851057473e-07 -4.07214329013682e-07 -4.0680923907420424e-07 -3.9652613336676793e-07 -2.9434134799460847e-07
-2.9727808279485006 1.1138587863505599e-07 1.3226245973971903e-07 1.3204694872496874e-07 1.3322715520304374e-07 1.3652158531990278e-07 1.4285402881898772e-07 1.4767537429664948e-07 1.5194141551121919e-07 1.5603399669795572e-07 1.6203521113286435e-07 1.6353212085599376e-07 1.619225527614095e-07 1.617614749396708e-07 1.5767255515510323e-07 1.1704033737211661e-07
-2.8086562440907605 1.0082662828082361e-06 1.1972413403836108e-06 1.1952905321446342e-06 1.2059737750581611e-06 1.2357949952038514e-06 1.2931163481990074e-06 1.3367592241404298e-06 1.3753754793644316e-06 1.4124215723773669e-06 1.4667446359898153e-06 1.4802946804006002e-06 1.4657248510870424e-06 1.4642667727511053e-06 1.4272538227936447e-06 1.0594505097674537e-06
-2.64453166023302 -1.2801134808680284e-06 -1.5200397016241957e-06 -1.5175629194805476e-06 -1.5311265618498071e-06 -1.5689881333169282e-06 -1.6417643809826938e-06 -1.6971741817357869e-06 -1.7462020920564644e-06 -1.7932364954555987e-06 -1.8622060595856858e-06 -1.8794094460445644e-06 -1.8609113218523275e-06 -1.85906011868723e-06 -1.8120677943230036e-06 -1.3450979200538867e-06
-2.48040707637528 -8.26988998828551e-06 -9.819880266970156e-06 -9.803879563783251e-06 -9.891504475098274e-06 -1.0136100782766544e-05 -1.0606255633059972e-05 -1.096421839444748e-05 -1.128095236433943e-05 -1.1584807723718766e-05 -1.2030370337049779e-05 -1.2141509009962131e-05 -1.2022005970313094e-05 -1.2010046681742106e-05 -1.170646316466011e-05 -8.689707583404549e-06
-2.31628249251754 -1.9961063239444203e-05 -2.370228035565426e-05 -2.366365940076347e-05 -2.3875159964687232e-05 -2.446554295314499e-05 -2.5600357408032822e-05 -2.6464373413994647e-05 -2.7228875337484456e-05 -2.7962292112412127e-05 -2.903774819640246e-05 -2.9306004011352093e-05 -2.901755909429525e-05 -2.8988692916413505e-05 -2.825593228821766e-05 -2.0974378480284527e-05
-2.1521579086597997 -3.6353633234344114e-05 -4.316723996767652e-05 -4.309690243042122e-05 -4.348209303061669e-05 -4.455731464445228e-05 -4.662406970590125e-05 -4.819763924037729e-05 -4.958997101149155e-05 -5.092568966153569e-05 -5.288433963764374e-05 -5.337289445021446e-05 -5.28475706937988e-05 -5.279499882270145e-05 -5.146047516499568e-05 -3.8199110610693834e-05
-1.9880333248020592 -5.74475999729853e-05 -6.821475910303702e-05 -6.810360865275655e-05 -6.871230367288671e-05 -7.041141585668847e-05 -7.367739252666533e-05 -7.61640158735955e-05 -7.83642393863608e-05 -8.047500037108953e-05 -8.357014466077369e-05 -8.43421803265493e-05 -8.351204076882383e-05 -8.342896440060602e-05 -8.132009179499424e-05 -6.036390397463251e-05
-1.8239087409443189 -8.32429634553677e-05 -9.884483776173564e-05 -9.86837780677694e-05 -9.956579189149724e-05 -0.00010202784658985348 -0.00010676032587032497 -0.00011036350331364917 -0.0001135516804620921 -0.00011661022424107357 -0.00012109516326579223 -0.00012221386164035656 -0.00012101096931937026 -0.00012089058965012711 -0.00011783478217821323 -8.746875857210052e-05
-1.8038801303781127 -8.671271771088805e-05 -0.00010296491328792578 -0.00010279714026306243 -0.00010371591841005885 -0.0001062805970950242 -0.00011121033677374402 -0.00011496370277053162 -0.00011828477032519002 -0.00012147080109949581 -0.00012614268248691771 -0.0001273080107300579 -0.0001260549791471277 -0.00012592958178206623 -0.00012274640137027127 -9.1114653488412e-05
