logk z350 z325 z300 z275 z225 z200 z175 z150 z125 z100 z075 z050 z0375 z025 z0125 z000
-3.3010299956639813 -1.3153941703261039e-23 0.0 -3.9461825109783113e-23 -1.3153941703261039e-23 -3.9461825109783113e-23 -1.3153941703261039e-23 -1.3153941703261039e-23 -1.3153941703261039e-23 -6.576970851630519e-24 0.0 -3.2884854258152597e-24 -6.576970851630519e-24 -1.6442427129076298e-24 -1.6442427129076298e-24 2.5691292389181716e-26 -1.3153941703261039e-23
-3.191599403766738 2.776355648071791e-07 2.8119558498700564e-07 2.676021304497445e-07 2.684451318354476e-07 2.6977637013485716e-07 2.5910142692301913e-07 2.320270186931874e-07 2.001422635965647e-07 1.6747165987784394e-07 1.244689423176852e-07 8.470631266703954e-08 4.40359557169181e-08 3.105442302915824e-08 1.808393748804858e-08 -4.22473032549409e-10 4.1286044994039164e-07
-3.0821688118694945 2.3813210317392798e-07 2.411855847887653e-07 2.2952627910649345e-07 2.3024933378104638e-07 2.3139115643004405e-07 2.2223510079263784e-07 1.9901298305553503e-07 1.716649601334081e-07 1.436429033018053e-07 1.0675884062090544e-07 7.265384894590018e-08 3.777028622909522e-08 2.6635834907974646e-08 1.5510858886849266e-08 -3.6236132732176775e-10 3.5411647398243356e-07
-2.9727382199722507 -1.1851038489975533e-07 -1.200300005947229e-07 -1.1422755402975521e-07 -1.1458739416320561e-07 -1.1515564111444114e-07 -1.1059897839114589e-07 -9.904210691295888e-08 -8.543191038947113e-08 -7.148626972811723e-08 -5.3130305090340135e-08 -3.615739116341874e-08 -1.879700846346895e-08 -1.3255764363551041e-08 -7.719235803598067e-09 1.803351156829266e-10 -1.7623192787387731e-07
-2.8633076280750074 -7.922918994138681e-07 -8.024511711634563e-07 -7.636593689589988e-07 -7.660650519973055e-07 -7.698640224985959e-07 -7.394008106283293e-07 -6.621382512122918e-07 -5.711483479720712e-07 -4.779158592119219e-07 -3.551984948160503e-07 -2.4172740766091636e-07 -1.25665928360774e-07 -8.862037478541848e-08 -5.1606346583293255e-08 1.2056162964646698e-09 -1.1781847556285366e-06
-2.753877036177764 -8.148892314101657e-07 -8.253382605543913e-07 -7.854400590117638e-07 -7.879143556738306e-07 -7.918216784096008e-07 -7.604896108652891e-07 -6.810234094489991e-07 -5.874383401426465e-07 -4.915467234740671e-07 -3.65329279086193e-07 -2.486218293854843e-07 -1.2925010574021236e-07 -9.114795840976701e-08 -5.307823560263249e-08 1.2400022490807624e-09 -1.2117883202940491e-06
-2.6444464442805207 1.362246491916339e-06 1.3797140847461271e-06 1.313016449055004e-06 1.3171527191368017e-06 1.3236845721597907e-06 1.2713069023470928e-06 1.1384636275403724e-06 9.820179077488467e-07 8.217163435903585e-07 6.107192359976044e-07 4.1561994175343995e-07 2.160667932986794e-07 1.5237161297882424e-07 8.873063658194391e-08 -2.072905922263198e-09 2.0257408303323995e-06
-2.5350158523832773 5.759355400325853e-06 5.833205526343365e-06 5.55121882967274e-06 5.568706303176373e-06 5.596321909606872e-06 5.374877686933276e-06 4.8132380448456195e-06 4.151811125058387e-06 3.4740823258319605e-06 2.5820210591826557e-06 1.757173147609616e-06 9.134950687707578e-07 6.442022624198081e-07 3.7513862139125546e-07 -8.763907258046506e-09 8.564500962247293e-06
-2.425585260486034 1.2376437493818379e-05 1.2535136064237325e-05 1.1929167082841442e-05 1.1966746396444888e-05 1.2026090333931643e-05 1.1550222742893265e-05 1.0343299842466749e-05 8.921941311785976e-06 7.465551223250742e-06 5.548576190468962e-06 3.776037788183045e-06 1.9630347206760228e-06 1.3843439899131852e-06 8.061457188253024e-07 -1.883300175826917e-08 1.840449207545064e-05
-2.3161546685887906 2.1213492772393916e-05 2.1485505698428006e-05 2.0446861208561113e-05 2.051127299894234e-05 2.0612989845134107e-05 1.9797342070227054e-05 1.7728649020403752e-05 1.5292408467931617e-05 1.27961230358467e-05 9.510384629856523e-06 6.4722138634737265e-06 3.364685749014475e-06 2.3727967954589545e-06 1.3817519288840842e-06 -3.228018942293118e-08 3.1545714169942426e-05
