logk z350 z325 z300 z275 z225 z200 z175 z150 z125 z100 z075 z050 z0375 z025 z0125 z000
-3.3010299956639813 9.865456277445778e-24 0.0 3.2884854258152597e-24 6.576970851630519e-24 3.2884854258152597e-24 -2.6307883406522077e-23 0.0 -6.576970851630519e-24 9.865456277445778e-24 -9.865456277445778e-24 2.9596368832337335e-23 0.0 -3.2884854258152597e-24 1.3153941703261039e-23 -6.576970851630519e-24 -1.3153941703261039e-23
-3.191599403766738 -1.0368538109427397e-07 -9.132395530147308e-08 -9.611037616871227e-08 -9.66479204250698e-08 -9.962442536543611e-08 -1.0653962229024732e-07 -1.0637341463609366e-07 -1.101350021725276e-07 -1.121914743464086e-07 -1.1031253845834785e-07 -1.1014204536056722e-07 -1.0450643709204611e-07 -9.753815478096909e-08 -8.517049803480736e-08 -7.50876417735563e-08 -8.203847323945508e-08
-3.0821688118694945 -8.893247479125283e-08 -7.832989826503392e-08 -8.243528176870304e-08 -8.289634137540144e-08 -8.544933339589161e-08 -9.138059940178251e-08 -9.12380406547622e-08 -9.446440955294699e-08 -9.622827595178199e-08 -9.461668503379691e-08 -9.447045059881274e-08 -8.963670658413871e-08 -8.365990846247548e-08 -7.305198755600907e-08 -6.440377359552563e-08 -7.036560387087796e-08
-2.9727382199722507 4.425871890906417e-08 3.898217110931811e-08 4.10252832000284e-08 4.125473714900581e-08 4.252527590863422e-08 4.547706866539516e-08 4.540612194399513e-08 4.7011777858742764e-08 4.788959518388077e-08 4.708756027365366e-08 4.701478428526435e-08 4.460919152372304e-08 4.163473895548153e-08 3.635553143639559e-08 3.205160453409257e-08 3.501860810573196e-08
-2.8633076280750074 2.95888200006676e-07 2.6061225282158217e-07 2.742713187374811e-07 2.75805315148151e-07 2.8429940254814035e-07 3.0403338191128467e-07 3.0355907316017734e-07 3.142935600625404e-07 3.201621390605784e-07 3.1480019746400265e-07 3.14313659291663e-07 2.98231257231538e-07 2.78345787472901e-07 2.430520589424057e-07 2.1427849261529756e-07 2.341141626903738e-07
-2.753877036177764 3.0432736730636e-07 2.6804529814700967e-07 2.8209394074227303e-07 2.8367168899011146e-07 2.924080402743144e-07 3.1270486179652373e-07 3.1221702506119213e-07 3.232576753416254e-07 3.2929363485695033e-07 3.237787627880409e-07 3.2327834783036996e-07 3.0673725197453574e-07 2.8628461932761135e-07 2.4998426167269866e-07 2.2039003085123802e-07 2.4079144345427263e-07
-2.6444464442805207 -5.087426272523095e-07 -4.480900630427425e-07 -4.715751127328279e-07 -4.742126270512164e-07 -4.888171443651344e-07 -5.227472453530218e-07 -5.219317309791356e-07 -5.403883340771669e-07 -5.504786191836052e-07 -5.412594335082306e-07 -5.404228921792724e-07 -5.127712201071531e-07 -4.785806503955963e-07 -4.178975133940865e-07 -3.684249770498191e-07 -4.02529922455134e-07
-2.5350158523832773 -3.7878222202698644e-07 -3.336236058382535e-07 -3.511093025923672e-07 -3.530730529852591e-07 -3.63946786035062e-07 -3.8920930259515996e-07 -3.886021147361407e-07 -4.023439023474912e-07 -4.0985658245088107e-07 -4.029924758312719e-07 -4.0236963243969577e-07 -3.8178169419907537e-07 -3.5632524672649315e-07 -3.111438676917884e-07 -2.7430929507693876e-07 -2.9970199132593424e-07
-2.425585260486034 5.942218252413424e-06 5.233783859863453e-06 5.508094058088795e-06 5.538900766400966e-06 5.709484524674108e-06 6.105795064809873e-06 6.096269689624032e-06 6.3118466000925146e-06 6.429703200109244e-06 6.3220212201492016e-06 6.312250245814544e-06 5.989273043404472e-06 5.589920175142328e-06 4.8811286861106105e-06 4.303279312556351e-06 4.70163207135617e-06
-2.3161546685887906 1.8799854554877118e-05 1.6558525984321344e-05 1.742638233198435e-05 1.7523847892988962e-05 1.8063536896107776e-05 1.931737514247158e-05 1.928723897774865e-05 1.996927628941272e-05 2.0342148312036093e-05 2.0001466520247665e-05 1.9970553334540243e-05 1.8948725429214744e-05 1.7685261934525364e-05 1.5442803590266634e-05 1.3614616923943024e-05 1.4874916295129697e-05
