logk z350 z325 z300 z275 z225 z200 z175 z150 z125 z100 z075 z050 z0375 z025 z0125 z000
-3.3010299956639813 -3.2884854258152597e-24 -1.9730912554891556e-23 -3.2884854258152597e-24 -9.865456277445778e-24 -9.865456277445778e-24 1.3153941703261039e-23 1.64424271290763e-23 3.2884854258152597e-24 1.64424271290763e-23 3.2884854258152597e-24 0.0 3.2884854258152597e-24 0.0 -4.932728138722889e-24 9.043334920991964e-24 0.0
-3.191599403766738 -9.712357593357654e-08 -1.0437579645992487e-07 -9.965231981586848e-08 -1.0362406036317891e-07 -1.046594271282911e-07 -1.1226183898556714e-07 -1.0881394425282638e-07 -1.084490168925481e-07 -1.0749373815526202e-07 -1.0604757509312028e-07 -1.0199471607698964e-07 -8.648464722750753e-08 -7.116588343054971e-08 -4.894661923107057e-08 -2.9293017393719937e-08 -2.5476560140942513e-08
-3.0821688118694945 -8.330431809375031e-08 -8.952465419449394e-08 -8.547325887587451e-08 -8.88798790992204e-08 -8.976792838607525e-08 -9.628862873664054e-08 -9.333131876520338e-08 -9.301831520649455e-08 -9.219895859782214e-08 -9.095856329126462e-08 -8.74823665653556e-08 -7.417915262709544e-08 -6.104002384318878e-08 -4.1982234476491906e-08 -2.5125051414510344e-08 -2.185161995442894e-08
-2.9727382199722507 4.145777351947943e-08 4.4553426796293634e-08 4.253718281998266e-08 4.423254379187626e-08 4.467449622664838e-08 4.791963074678059e-08 4.644787646286983e-08 4.629210505816153e-08 4.588433867232046e-08 4.526703540556779e-08 4.353704853490286e-08 3.691648380123683e-08 3.037757876208334e-08 2.089315426373635e-08 1.2503897937629025e-08 1.0874820559540918e-08
-2.8633076280750074 2.7716269890611166e-07 2.9785844651243674e-07 2.8437900527170196e-07 2.9571320831011013e-07 2.9866784670987876e-07 3.2036293946469515e-07 3.105236414313921e-07 3.0948224390141895e-07 3.067561536551647e-07 3.026292209973759e-07 2.9106352922378473e-07 2.468022620574885e-07 2.030869243852659e-07 1.396795469896137e-07 8.359383066269784e-08 7.270276140096678e-08
-2.753877036177764 2.850677873322392e-07 3.063538081445844e-07 2.924899133848045e-07 3.0414738458884896e-07 3.0718629362788333e-07 3.2950016238436617e-07 3.193802330781275e-07 3.1830913335664817e-07 3.1550529100111243e-07 3.1126065214506e-07 2.993650898061279e-07 2.5384142610457303e-07 2.0887926261040227e-07 1.436634134140358e-07 8.597804984470019e-08 7.477635124536711e-08
-2.6444464442805207 -4.7654647807737863e-07 -5.121302188617576e-07 -4.889540112585105e-07 -5.08441750990751e-07 -5.135218809251147e-07 -5.508238702789221e-07 -5.339064320990012e-07 -5.321158797369932e-07 -5.274287096708141e-07 -5.203329668775278e-07 -5.004472113159529e-07 -4.243455170165856e-07 -3.491824799705441e-07 -2.4016145188387255e-07 -1.437291011688387e-07 -1.250032743542704e-07
-2.5350158523832773 -3.548107121280429e-07 -3.813044393691308e-07 -3.640486897152674e-07 -3.785582058490514e-07 -3.8234059561087816e-07 -4.10113637728022e-07 -3.975178289997374e-07 -3.961846806335379e-07 -3.926948675186554e-07 -3.87411761527143e-07 -3.7260590435142133e-07 -3.15944702158832e-07 -2.5998237334757527e-07 -1.7881121713963213e-07 -1.070129086778384e-07 -9.307067166022404e-08
-2.425585260486034 5.566160625164869e-06 5.981786017359919e-06 5.711083158066323e-06 5.938703955955097e-06 5.998040915752719e-06 6.433735803729148e-06 6.236136655256487e-06 6.215222636345013e-06 6.160475528421617e-06 6.0775957969384766e-06 5.845326092512043e-06 4.956442691198369e-06 4.078522999164569e-06 2.8051350259719685e-06 1.678785386986801e-06 1.4600638882792105e-06
-2.3161546685887906 1.7610092012302436e-05 1.892503814700678e-05 1.8068594615966512e-05 1.8788736103909333e-05 1.8976465023740038e-05 2.035490657137819e-05 1.9729746893013163e-05 1.9663579597065395e-05 1.949037194589204e-05 1.9228158942053352e-05 1.8493309349656142e-05 1.5681080321522682e-05 1.290353802670802e-05 8.874822205267488e-06 5.3113029113978695e-06 4.61931682319631e-06
-2.206724076691547 3.577698344928474e-05 3.844845194957153e-05 3.6708485683985375e-05 3.817153823801374e-05 3.855293172835117e-05 4.13533986652192e-05 4.008331288427037e-05 3.9948886201527686e-05 3.959699438489269e-05 3.906427767381757e-05 3.7571343867080965e-05 3.185796818881417e-05 2.6215062709282834e-05 1.8030250320746968e-05 1.0790539664555389e-05 9.384688133091094e-06
-2.097293484794304 6.006683493611152e-05 6.455202742505391e-05 6.163075636212266e-05 6.408711035826805e-05 6.472744102958584e-05 6.94292120852519e-05 6.729683462902784e-05 6.70711424497316e-05 6.648034284542329e-05 6.558595199223086e-05 6.307942964478623e-05 5.348710629307263e-05 4.401309704688882e-05 3.0271419372410275e-05 1.8116495646459284e-05 1.5756177817963495e-05
-1.98786289289706 9.04796464727832e-05 9.723576457345434e-05 9.283540665037878e-05 9.65354524646727e-05 9.749999292744447e-05 0.0001045823468314767 0.00010137031212728599 0.0001010303483416776 0.00010014041732748428 9.879318189729363e-05 9.501756668277238e-05 8.05684946342984e-05 6.629764103952629e-05 4.559832936025761e-05 2.7289170857109676e-05 2.3733785877813622e-05
-1.8784323009998167 0.00012701541805929943 0.00013649966339477246 0.00013032243654875338 0.00013551656455722732 0.0001368705874219267 0.00014681280290389326 0.00014230374537904447 0.0001418265038773653 0.0001405772178310753 0.00013868596738900556 0.00013338575498103906 0.00011310213321249117 9.306869468719499e-05 6.401098028428882e-05 3.8308565296506464e-05 3.3317512312641386e-05
