logk z350 z325 z300 z275 z225 z200 z175 z150 z125 z100 z075 z050 z0375 z025 z0125 z000
-3.3010299956639813 6.576970851630519e-24 -6.576970851630519e-24 -3.2884854258152597e-24 6.576970851630519e-24 -9.865456277445778e-24 9.865456277445778e-24 -9.865456277445778e-24 -1.9730912554891556e-23 2.9596368832337335e-23 -6.576970851630519e-24 3.2884854258152597e-24 3.2884854258152597e-24 0.0 6.576970851630519e-24 3.2884854258152597e-24 -1.64424271290763e-23
-3.191599403766738 -9.053010119645313e-08 -8.999045480627786e-08 -9.10789420568669e-08 -9.204864564867921e-08 -9.510097186546502e-08 -9.70543224606324e-08 -9.537711846041914e-08 -9.788398929574935e-08 -9.831659757979677e-08 -9.971987502955502e-08 -1.0073151736024078e-07 -9.011325175685985e-08 -8.371224446651843e-08 -7.529918392941906e-08 -7.132342667226664e-08 -8.480873997924118e-08
-3.0821688118694945 -7.764899793523308e-08 -7.718613529747298e-08 -7.811974680520901e-08 -7.89514758235499e-08 -8.156950086685052e-08 -8.324491837247998e-08 -8.180635585870438e-08 -8.395653580707356e-08 -8.432759028852043e-08 -8.55312019752275e-08 -8.639890246609684e-08 -7.7291460046216e-08 -7.180122204468589e-08 -6.458521641075192e-08 -6.117515099635791e-08 -7.274170235651759e-08
-2.9727382199722507 3.8643309783660794e-08 3.84129585264153e-08 3.8877585754974325e-08 3.929150947538861e-08 4.059441299584426e-08 4.1428212264457973e-08 4.0712287805145034e-08 4.1782360466028136e-08 4.196702187382986e-08 4.256601916298338e-08 4.2997844682432544e-08 3.846537513193219e-08 3.573306726549824e-08 3.214190255600194e-08 3.044482702772679e-08 3.620111286817137e-08
-2.8633076280750074 2.583468219602276e-07 2.568068266653861e-07 2.5991305562368213e-07 2.6268031024813537e-07 2.713907697226183e-07 2.769650694501805e-07 2.721788125311281e-07 2.793326995235547e-07 2.8056723890725304e-07 2.8457178838507657e-07 2.874587240853464e-07 2.571572537775838e-07 2.388906234640331e-07 2.1488217297084181e-07 2.0353650739998666e-07 2.420197056948248e-07
-2.753877036177764 2.657152538605698e-07 2.641313356315464e-07 2.673261588151263e-07 2.701723396175625e-07 2.7913123422653315e-07 2.8486452119312257e-07 2.799417531767078e-07 2.872996795636443e-07 2.8856942982901205e-07 2.9268819495653675e-07 2.956574703153588e-07 2.6449175744115427e-07 2.4570413592479777e-07 2.2101092905972834e-07 2.0934166839492682e-07 2.489224641898664e-07
-2.6444464442805207 -4.4419493897818613e-07 -4.4154711033130045e-07 -4.468878812071076e-07 -4.5164582825564815e-07 -4.666223701979233e-07 -4.7620667902952436e-07 -4.679773109112721e-07 -4.80277521813606e-07 -4.824001573546374e-07 -4.892854776285315e-07 -4.942492012674935e-07 -4.4214962577367184e-07 -4.1074244733075723e-07 -3.694629296619622e-07 -3.4995548154367854e-07 -4.1612251154063905e-07
-2.5350158523832773 -3.307235073027498e-07 -3.2875207741917145e-07 -3.3272852631751024e-07 -3.362710361423062e-07 -3.474217585926984e-07 -3.545577161503264e-07 -3.4843057410495275e-07 -3.57588645332734e-07 -3.5916904485838915e-07 -3.642954816321185e-07 -3.679912015674609e-07 -3.292006778034173e-07 -3.0581659280456943e-07 -2.750820984075954e-07 -2.605579084763761e-07 -3.098222973925103e-07
-2.425585260486034 5.188288011723442e-06 5.157360829938485e-06 5.2197421294014055e-06 5.2753159269983474e-06 5.450245009249762e-06 5.562191702577791e-06 5.466070994741256e-06 5.609739981409698e-06 5.634532799977447e-06 5.7149547532669035e-06 5.772932063654046e-06 5.164398333908534e-06 4.797556046663484e-06 4.315402811997181e-06 4.087551816116339e-06 4.860396300329234e-06
-2.3161546685887906 1.6414587257813683e-05 1.6316740545584067e-05 1.651410107780128e-05 1.6689924190905614e-05 1.7243360830902637e-05 1.7597535225559325e-05 1.7293430722782966e-05 1.774796738547056e-05 1.7826406339288855e-05 1.808084348054443e-05 1.8264270772586187e-05 1.633900564010707e-05 1.5178398380017903e-05 1.3652972974916279e-05 1.2932103191817354e-05 1.5377210941072493e-05
-2.206724076691547 3.3348174230968045e-05 3.3149387069517636e-05 3.355034831888218e-05 3.3907553755579564e-05 3.5031925706366004e-05 3.575147285279435e-05 3.5133648610020264e-05 3.6057093566849924e-05 3.621645157307591e-05 3.6733370700200546e-05 3.710602492522904e-05 3.319462124079227e-05 3.0836710407258764e-05 2.773762839034976e-05 2.6273096218626725e-05 3.124062162483734e-05
-2.097293484794304 5.59890489311863e-05 5.565530040173898e-05 5.632848385264388e-05 5.6928204621019965e-05 5.881593963563961e-05 6.002400458428261e-05 5.898672465645289e-05 6.053711852554754e-05 6.0804668501338354e-05 6.167253641223497e-05 6.229819452158235e-05 5.5731245135963895e-05 5.177249212838583e-05 4.656936905829742e-05 4.4110530896544265e-05 5.245062835162354e-05
-1.98786289289706 8.433721135846882e-05 8.383448054224846e-05 8.484850767908674e-05 8.575187678722719e-05 8.859540261872387e-05 9.041513042002453e-05 8.885265886208125e-05 9.11880422615638e-05 9.159105712407661e-05 9.289834061664816e-05 9.384077956164651e-05 8.394887732562231e-05 7.798574354339946e-05 7.014819497875958e-05 6.644440722557027e-05 7.900723112143145e-05
-1.8784323009998167 0.00011839266151281528 0.00011768692749104576 0.00011911041979821048 0.00012037857025420092 0.00012437031465561843 0.00012692485036001975 0.000124731451226905 0.0001280098647748984 0.0001285756174412903 0.0001304107833134397 0.0001317337800454212 0.00011784751780976722 0.00010947646465229938 9.847410615173598e-05 9.327472520570449e-05 0.0001109104299342608
-1.7690017091025734 0.00015383817276176832 0.00015293747123253714 0.00015479157124774717 0.00015643326632611574 0.0001615976106285805 0.00016487208081985468 0.00016194124493653573 0.00016608097074770646 0.00016665894872356277 0.00016876109103057755 0.00017034407619551562 0.0001525473269255583 0.00014186206301275108 0.00012763939888716386 0.00012061385668853658 0.0001421219903595802
-1.6595711172053298 0.00018325311031002913 0.00018223776569310543 0.000184462007098736 0.0001863959947238469 0.00019246847484177018 0.0001962107740277843 0.00019243466315829538 0.00019694187612091576 0.00019707598170086983 0.00019858367760348982 0.00019998921949001842 0.00017966062640627909 0.00016760955026442616 0.00015092734403439123 0.00014160769492730895 0.00016226313538797698
-1.5501405253080864 0.00020650932256284187 0.0002054609076772521 0.0002079934148011896 0.00021013688836588854 0.0002168480519610846 0.0002208019777402507 0.0002160727306962396 0.00022044648876051268 0.00021967534689659875 0.0002197168028528091 0.00022050199765485186 0.00019904256417716383 0.00018658883450841269 0.0001682219461865637 0.00015613787205532927 0.00017115462741214933
-1.440709933410843 0.00022360680952020665 0.00022260689718497714 0.00022538579435510804 0.0002276559472522408 0.00023473634198652388 0.00023864569195725398 0.00023285544755036845 0.00023659480866649725 0.00023445704431074966 0.00023216046677853545 0.00023188241069001594 0.00021069314023821256 0.00019879991574471063 0.00017952320534368125 0.0001642043880725975 0.0001687964664320972
-1.3312793415135995 0.00023454557118212345 0.00023367573421628058 0.0002366391457604913 0.00023895317138290366 0.00024613334491808785 0.00024974191667879417 0.00024278281372068196 0.00024538683583886947 0.0002414210739433225 0.00023591466938066886 0.00023413045859551067 0.00021461235458942532 0.00020424279397332013 0.000184831121505744 0.00016580724297911368 0.00015518865244782068
