% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000     0.062831853       2410.1059     0.030286284
0.000      0.12566371       3704.3436      0.37240124
0.000      0.18849556       1524.0448      0.51709622
0.000      0.25132741       1229.4875      0.98881252
0.000      0.31415927       885.04670       1.3902281
0.000      0.37699112       666.59177       1.8093541
0.000      0.43982297       553.95925       2.3877112
0.000      0.50265482       496.28986       3.1931199
0.000      0.56548668       416.84412       3.8186607
0.000      0.62831853       391.93947       4.9252566
0.000      0.69115038       349.32015       5.8426726
0.000      0.75398224       312.40361       6.7837472
0.000      0.81681409       303.75460       8.3861532
0.000      0.87964594       284.65697       9.8155761
0.000      0.94247780       264.67296       11.225178
0.000       1.0053096       249.49701       12.842074
0.000       1.0681415       235.49154       14.538913
0.000       1.1309734       209.08207       15.323013
0.000       1.1938052       205.76268       17.735249
0.000       1.2566371       183.91515       18.489168
0.000       1.3194689       182.05269       21.186775
0.000       1.3823008       177.10505       23.697845
0.000       1.4451326       165.46130       25.298210
0.000       1.5079645       155.36239       26.989167
0.000       1.5707963       149.84020       29.421055
0.000       1.6336282       142.78387       31.536179
0.000       1.6964600       133.93976       33.129179
0.000       1.7592919       126.78401       34.974253
0.000       1.8221237       122.30124       37.483033
0.000       1.8849556       118.32548       40.146888
0.000       1.9477874       112.23238       42.015847
0.000       2.0106193       109.35609       45.030084
0.000       2.0734512       103.23861       46.622316
0.000       2.1362830       98.714551       48.755969
0.000       2.1991149       92.247036       49.701148
0.000       2.2619467       90.357924       52.976542
0.000       2.3247786       86.601376       55.123886
0.000       2.3876104       85.784985       59.152341
0.000       2.4504423       80.511709       60.015403
0.000       2.5132741       78.459671       63.101011
0.000       2.5761060       73.423663       63.591268
0.000       2.6389378       71.618150       66.677734
0.000       2.7017697       68.500291       68.439629
0.000       2.7646015       66.351448       71.026154
0.000       2.8274334       64.275821       73.602919
0.000       2.8902652       61.625660       75.378058
0.000       2.9530971       60.474521       78.899795
0.000       3.0159289       57.753291       80.262062
0.000       3.0787608       55.983022       82.766471
0.000       3.1415927       53.816323       84.534482
0.000       3.2044245       52.650751       87.765728
0.000       3.2672564       49.948943       88.256398
0.000       3.3300882       48.467803       90.675677
0.000       3.3929201       46.948226       92.898848
0.000       3.4557519       45.575909       95.286916
0.000       3.5185838       43.575305       96.164412
0.000       3.5814156       42.840583       99.698771
0.000       3.6442475       40.949176       100.40122
0.000       3.7070793       40.227981       103.82314
0.000       3.7699112       39.226442       106.47375
0.000       3.8327430       38.341330       109.36202
0.000       3.8955749       37.036683       110.92183
0.000       3.9584067       35.994224       113.10045
0.000       4.0212386       34.626657       114.06709
0.000       4.1469023       32.460056       117.27108
0.000       4.2725660       31.577435       124.77094
0.000       4.3982297       29.461909       126.98864
0.000       4.5238934       27.439872       128.70323
0.000       4.6495571       26.234966       133.59356
0.000       4.7752208       24.995352       137.88274
0.000       4.9008845       23.997251       143.10512
0.000       5.0265482       23.034520       148.20368
0.000       5.1522120       21.891115       151.67685
0.000       5.2778757       20.197001       150.43005
0.000       5.4035394       19.499109       155.85473
0.000       5.5292031       18.893257       161.79486
0.000       5.6548668       18.195209       166.68420
0.000       5.7805305       17.341918       169.69556
0.000       5.9061942       16.426725       171.45274
0.000       6.0318579       15.709020       174.65164
0.000       6.1575216       15.079781       178.35411
0.000       6.2831853       14.443101       181.49736
0.000       6.4088490       13.841087       184.57827
0.000       6.5345127       13.213895       186.78446
0.000       6.6601764       12.910234       193.22422
0.000       6.7858401       12.377045       195.92871
0.000       6.9115038       11.799469       197.35602
0.000       7.0371675       11.305115       199.59007
0.000       7.1628313       11.025522       205.26909
0.000       7.2884950       10.610211       208.11714
0.000       7.4141587       10.304710       212.76081
0.000       7.5398224       9.8943558       214.85285
0.000       7.6654861       9.5111601       217.03154
0.000       7.7911498       9.2343468       221.24889
0.000       7.9168135       8.9431317       224.80767
0.000       8.0424772       8.7156096       229.68760
0.000       8.2938046       8.1056173       234.27058
0.000       8.5451320       7.5612541       239.01239
0.000       8.7964594       7.2692621       250.65957
0.000       9.0477868       6.8930146       258.64646
0.000       9.2991143       6.4078358       261.03959
0.000       9.5504417       6.0780730       268.22950
0.000       9.8017691       5.7602146       274.80354
0.000       10.053096       5.3765444       276.74071
0.000       10.304424       5.1791750       287.07938
0.000       10.555751       4.8757265       290.52067
0.000       10.807079       4.6324853       296.21651
0.000       11.058406       4.3722623       299.53948
0.000       11.309734       4.2461925       311.19102
0.000       11.561061       4.0548663       317.42408
0.000       11.812388       3.9047875       326.04745
0.000       12.063716       3.7168453       330.58873
0.000       12.315043       3.6017745       340.79609
0.000       12.566371       3.3925384       341.05516
0.000       12.817698       3.2815130       350.08580
0.000       13.069025       3.1375530       354.80598
0.000       13.320353       2.9811345       356.94313
0.000       13.571680       2.9373514       371.98637
0.000       13.823008       2.7769532       371.57498
0.000       14.074335       2.6936377       380.44607
0.000       14.325663       2.5655177       382.11089
0.000       14.576990       2.5009428       392.44389
0.000       14.828317       2.3936340       395.36992
0.000       15.079645       2.3272559       404.28510
0.000       15.330972       2.2370419       408.36966
0.000       15.582300       2.1539297       412.85395
0.000       15.833627       2.0817220       418.63373
0.000       16.084954       2.0100503       423.77633
0.000       16.587609       1.9120824       442.10787
0.000       17.090264       1.7850978       451.41771
0.000       17.592919       1.6565402       456.96816
0.000       18.095574       1.5414825       462.72815
0.000       18.598229       1.4650902       477.47358
0.000       19.100883       1.3784552       486.65733
0.000       19.603538       1.3068249       498.75935
0.000       20.106193       1.2269956       505.24591
0.000       20.608848       1.1950087       529.91040
0.000       21.111503       1.1048121       526.64274
0.000       21.614157       1.0742527       549.53028
0.000       22.116812       1.0080425       552.48020
0.000       22.619467      0.95710238       561.14586
0.000       23.122122      0.93027698       582.59344
0.000       23.624777      0.87529179       584.69079
0.000       24.127432      0.84038078       597.97035
0.000       24.630086      0.81714305       618.53767
0.000       25.132741      0.76245499       613.20269
0.000       25.635396      0.74142959       632.79096
