% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000     0.062831853       2408.1459     0.030261654
0.000      0.12566371       3705.6836      0.37253595
0.000      0.18849556       1528.5282      0.51861742
0.000      0.25132741       1235.5535      0.99369107
0.000      0.31415927       892.64506       1.4021636
0.000      0.37699112       674.44286       1.8306646
0.000      0.43982297       563.53106       2.4289683
0.000      0.50265482       506.98690       3.2619445
0.000      0.56548668       427.96752       3.9205609
0.000      0.62831853       405.04267       5.0899163
0.000      0.69115038       362.58785       6.0645862
0.000      0.75398224       325.78130       7.0742395
0.000      0.81681409       318.36167       8.7894297
0.000      0.87964594       299.86018       10.339815
0.000      0.94247780       280.14484       11.881363
0.000       1.0053096       265.19569       13.650114
0.000       1.0681415       251.63089       15.535333
0.000       1.1309734       224.33646       16.440963
0.000       1.1938052       222.19847       19.151894
0.000       1.2566371       199.26391       20.032194
0.000       1.3194689       198.68875       23.122832
0.000       1.3823008       193.24511       25.857493
0.000       1.4451326       181.24020       27.710726
0.000       1.5079645       170.27781       29.580237
0.000       1.5707963       165.22942       32.442720
0.000       1.6336282       157.95769       34.887567
0.000       1.6964600       148.71439       36.783594
0.000       1.7592919       141.27186       38.970827
0.000       1.8221237       137.05634       42.005192
0.000       1.8849556       133.27219       45.218187
0.000       1.9477874       126.52495       47.366481
0.000       2.0106193       123.94215       51.036257
0.000       2.0734512       117.42697       53.029745
0.000       2.1362830       112.59310       55.610704
0.000       2.1991149       105.45933       56.819707
0.000       2.2619467       103.82568       60.872644
0.000       2.3247786       99.696561       63.459291
0.000       2.3876104       99.128626       68.353340
0.000       2.4504423       93.438039       69.651007
0.000       2.5132741       91.317026       73.441510
0.000       2.5761060       85.875990       74.376064
0.000       2.6389378       84.088181       78.287548
0.000       2.7017697       80.427169       80.355945
0.000       2.7646015       78.168933       83.676225
0.000       2.8274334       75.823709       86.826527
0.000       2.8902652       72.810780       89.059252
0.000       2.9530971       71.831486       93.716981
0.000       3.0159289       68.866551       95.706605
0.000       3.0787608       66.949363       98.979340
0.000       3.1415927       64.464523       101.26064
0.000       3.2044245       63.450910       105.76896
0.000       3.2672564       60.349284       106.63310
0.000       3.3300882       58.727789       109.87050
0.000       3.3929201       57.161647       113.10867
0.000       3.4557519       55.527347       116.09269
0.000       3.5185838       53.278906       117.57886
0.000       3.5814156       52.405241       121.95768
0.000       3.6442475       50.326916       123.39403
0.000       3.7070793       49.501309       127.75638
0.000       3.7699112       48.488219       131.61332
0.000       3.8327430       47.488419       135.45252
0.000       3.8955749       45.928027       137.55067
0.000       3.9584067       44.727002       140.54044
0.000       4.0212386       43.292234       142.61322
0.000       4.1469023       40.712554       147.08555
0.000       4.2725660       39.823901       157.35495
0.000       4.3982297       37.336534       160.93036
0.000       4.5238934       34.774024       163.10313
0.000       4.6495571       33.399050       170.07447
0.000       4.7752208       31.953397       176.26565
0.000       4.9008845       30.641855       182.72953
0.000       5.0265482       29.666043       190.87078
0.000       5.1522120       28.248330       195.72405
0.000       5.2778757       26.141422       194.70492
0.000       5.4035394       25.417796       203.16229
0.000       5.5292031       24.669390       211.25952
0.000       5.6548668       23.847850       218.46739
0.000       5.7805305       22.799654       223.10104
0.000       5.9061942       21.663546       226.11167
0.000       6.0318579       20.805008       231.30843
0.000       6.1575216       20.057083       237.22249
0.000       6.2831853       19.213989       241.45011
0.000       6.4088490       18.430764       245.78406
0.000       6.5345127       17.715606       250.41820
0.000       6.6601764       17.351387       259.69385
0.000       6.7858401       16.661130       263.74581
0.000       6.9115038       15.993056       267.49729
0.000       7.0371675       15.317426       270.42680
0.000       7.1628313       14.950674       278.34613
0.000       7.2884950       14.413089       282.70982
0.000       7.4141587       14.007640       289.21504
0.000       7.5398224       13.476892       292.64651
0.000       7.6654861       12.950027       295.50173
0.000       7.7911498       12.563874       301.02218
0.000       7.9168135       12.266620       308.35174
0.000       8.0424772       11.930076       314.40031
0.000       8.2938046       11.100528       320.83024
0.000       8.5451320       10.428975       329.66148
0.000       8.7964594       10.052191       346.62086
0.000       9.0477868       9.5672380       358.99130
0.000       9.2991143       8.9089048       362.92704
0.000       9.5504417       8.4433705       372.61169
0.000       9.8017691       8.0046083       381.87721
0.000       10.053096       7.5228996       387.21759
0.000       10.304424       7.2238483       400.41471
0.000       10.555751       6.8467950       407.96700
0.000       10.807079       6.5071966       416.09178
0.000       11.058406       6.0953553       417.58693
0.000       11.309734       5.9744122       437.84718
0.000       11.561061       5.6777465       444.46681
0.000       11.812388       5.5136280       460.38469
0.000       12.063716       5.2394351       466.01298
0.000       12.315043       5.0513535       477.95371
0.000       12.566371       4.7832732       480.86707
0.000       12.817698       4.6266691       493.59279
0.000       13.069025       4.4076597       498.43430
0.000       13.320353       4.2460661       508.39842
0.000       13.571680       4.1254918       522.45254
0.000       13.823008       3.9202909       524.56125
0.000       14.074335       3.8300976       540.95826
0.000       14.325663       3.6233202       539.66111
0.000       14.576990       3.5405519       555.57767
0.000       14.828317       3.3875845       559.54627
0.000       15.079645       3.2880125       571.18534
0.000       15.330972       3.1510048       575.21262
0.000       15.582300       3.0305715       580.88404
0.000       15.833627       2.9100026       585.20073
0.000       16.084954       2.8224085       595.04475
0.000       16.587609       2.6905663       622.10736
0.000       17.090264       2.5290827       639.55752
0.000       17.592919       2.2814940       629.36603
0.000       18.095574       2.1631241       649.33494
0.000       18.598229       2.0535687       669.25902
0.000       19.100883       1.9274053       680.46166
0.000       19.603538       1.8361443       700.77798
0.000       20.106193       1.6900696       695.92811
0.000       20.608848       1.6385547       726.59488
0.000       21.111503       1.5220193       725.51745
0.000       21.614157       1.4656979       749.77275
0.000       22.116812       1.3639500       747.54319
0.000       22.619467       1.3190511       773.35516
0.000       23.122122       1.2680230       794.10962
0.000       23.624777       1.2019129       802.87217
0.000       24.127432       1.1311185       804.84389
0.000       24.630086       1.0797584       817.32473
0.000       25.132741       1.0193645       819.82156
0.000       25.635396      0.98024749       836.61586
0.000       26.138051      0.95037661       859.77655
0.000       26.640706      0.90318053       865.13125
0.000       27.143361      0.86008446       871.36920
0.000       27.646015      0.82934616       887.77668
0.000       28.148670      0.79110387       893.87628
0.000       28.651325      0.75877407       904.10084
0.000       29.153980      0.72459411       909.61707
0.000       29.656635      0.70210030       927.75866
0.000       30.159289      0.67242814       934.50032
0.000       30.661944      0.64906760       947.89288
0.000       31.164599      0.61920715       949.49101
0.000       31.667254      0.60440913       972.37209
0.000       32.169909      0.57503884       969.87760
0.000       33.175218      0.53521770       990.01573
0.000       34.180528      0.49245921       996.26948
0.000       35.185838      0.45821889       1011.2230
0.000       36.191147      0.42621094       1023.5331
0.000       37.196457      0.41046609       1070.1688
0.000       38.201767      0.38747645       1094.3744
0.000       39.207076      0.35596104       1086.8412
0.000       40.212386      0.34116907       1123.8787
0.000       41.217696      0.31256695       1108.8287
0.000       42.223005      0.29112962       1110.2073
0.000       43.228315      0.28051785       1147.9836
0.000       44.233625      0.26160486       1147.0270
0.000       45.238934      0.24891547       1167.5063
0.000       46.244244      0.23358774       1170.2896
0.000       47.249554      0.22396988       1196.8866
0.000       48.254863      0.20821917       1185.2616
0.000       49.260173      0.20163138       1221.0014
0.000       50.265482      0.19103877       1229.1400
0.000       51.270792      0.18274103       1247.7179
0.000       52.276102      0.17248324       1248.3224
