% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000     0.062831853       2409.2189     0.030275137
0.000      0.12566371       3706.8753      0.37265575
0.000      0.18849556       1528.7500      0.51869266
0.000      0.25132741       1234.9701      0.99322187
0.000      0.31415927       891.74942       1.4007567
0.000      0.37699112       673.57903       1.8283199
0.000      0.43982297       562.04452       2.4225609
0.000      0.50265482       504.98180       3.2490437
0.000      0.56548668       426.61243       3.9081470
0.000      0.62831853       402.44551       5.0572794
0.000      0.69115038       360.21534       6.0249038
0.000      0.75398224       323.40595       7.0226593
0.000      0.81681409       315.51961       8.7109652
0.000      0.87964594       297.07323       10.243715
0.000      0.94247780       276.70672       11.735547
0.000       1.0053096       261.90179       13.480571
0.000       1.0681415       248.02946       15.312987
0.000       1.1309734       221.08409       16.202606
0.000       1.1938052       218.70961       18.851180
0.000       1.2566371       196.02160       19.706241
0.000       1.3194689       195.43572       22.744254
0.000       1.3823008       190.11583       25.438774
0.000       1.4451326       178.15864       27.239571
0.000       1.5079645       167.24599       29.053557
0.000       1.5707963       162.40516       31.888179
0.000       1.6336282       155.10074       34.256561
0.000       1.6964600       146.04692       36.123811
0.000       1.7592919       138.64837       38.247119
0.000       1.8221237       134.58002       41.246247
0.000       1.8849556       130.99321       44.444947
0.000       1.9477874       124.62501       46.655211
0.000       2.0106193       122.15896       50.301984
0.000       2.0734512       115.80991       52.299482
0.000       2.1362830       110.93747       54.792974
0.000       2.1991149       103.91887       55.989733
0.000       2.2619467       102.47114       60.078477
0.000       2.3247786       98.388447       62.626644
0.000       2.3876104       97.924923       67.523336
0.000       2.4504423       92.342661       68.834486
0.000       2.5132741       90.214079       72.554467
0.000       2.5761060       84.976495       73.597023
0.000       2.6389378       83.317377       77.569916
0.000       2.7017697       79.784038       79.713383
0.000       2.7646015       77.503955       82.964396
0.000       2.8274334       75.311838       86.240379
0.000       2.8902652       72.200877       88.313243
0.000       2.9530971       71.328612       93.060892
0.000       3.0159289       68.338213       94.972352
0.000       3.0787608       66.470368       98.271183
0.000       3.1415927       64.008156       100.54378
0.000       3.2044245       62.909996       104.86729
0.000       3.2672564       59.805099       105.67156
0.000       3.3300882       58.285992       109.04397
0.000       3.3929201       56.726557       112.24773
0.000       3.4557519       55.188047       115.38330
0.000       3.5185838       52.902010       116.74711
0.000       3.5814156       52.114205       121.28038
0.000       3.6442475       50.083219       122.79653
0.000       3.7070793       49.364754       127.40395
0.000       3.7699112       48.358147       131.26026
0.000       3.8327430       47.349466       135.05618
0.000       3.8955749       45.863345       137.35696
0.000       3.9584067       44.661637       140.33505
0.000       4.0212386       43.122810       142.05510
0.000       4.1469023       40.591962       146.64988
0.000       4.2725660       39.795486       157.24267
0.000       4.3982297       37.369331       161.07172
0.000       4.5238934       34.848541       163.45265
0.000       4.6495571       33.417847       170.17019
0.000       4.7752208       32.190393       177.57300
0.000       4.9008845       30.935742       184.48209
0.000       5.0265482       29.821404       191.87037
0.000       5.1522120       28.389902       196.70496
0.000       5.2778757       26.627708       198.32685
0.000       5.4035394       25.911339       207.10714
0.000       5.5292031       25.097308       214.92405
0.000       5.6548668       24.415508       223.66764
0.000       5.7805305       23.352839       228.51412
0.000       5.9061942       22.165809       231.35400
0.000       6.0318579       21.422003       238.16812
0.000       6.1575216       20.636342       244.07361
0.000       6.2831853       19.934329       250.50216
0.000       6.4088490       19.253651       256.75769
0.000       6.5345127       18.456381       260.88940
0.000       6.6601764       18.046184       270.09270
0.000       6.7858401       17.512881       277.22904
0.000       6.9115038       16.776187       280.59582
