% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000     0.062831853       2408.8367     0.030270335
0.000      0.12566371       3705.2549      0.37249285
0.000      0.18849556       1527.5095      0.51827175
0.000      0.25132741       1234.2397      0.99263448
0.000      0.31415927       890.91151       1.3994405
0.000      0.37699112       672.58212       1.8256139
0.000      0.43982297       561.29676       2.4193378
0.000      0.50265482       504.44014       3.2455587
0.000      0.56548668       425.89574       3.9015816
0.000      0.62831853       402.02252       5.0519639
0.000      0.69115038       359.65500       6.0155318
0.000      0.75398224       322.87479       7.0111254
0.000      0.81681409       314.89461       8.6937100
0.000      0.87964594       296.73394       10.232015
0.000      0.94247780       276.37383       11.721429
0.000       1.0053096       261.49730       13.459751
0.000       1.0681415       247.74523       15.295439
0.000       1.1309734       220.80534       16.182177
0.000       1.1938052       218.23768       18.810503
0.000       1.2566371       195.74134       19.678066
0.000       1.3194689       194.91015       22.683089
0.000       1.3823008       189.73743       25.388143
0.000       1.4451326       177.77867       27.181475
0.000       1.5079645       167.12229       29.032067
0.000       1.5707963       162.15677       31.839408
0.000       1.6336282       154.89480       34.211077
0.000       1.6964600       145.90264       36.088124
0.000       1.7592919       138.45247       38.193079
0.000       1.8221237       134.39420       41.189296
0.000       1.8849556       130.67973       44.338586
0.000       1.9477874       124.37494       46.561593
0.000       2.0106193       121.79096       50.150453
0.000       2.0734512       115.57205       52.192065
0.000       2.1362830       110.72023       54.685677
0.000       2.1991149       103.73484       55.890582
0.000       2.2619467       102.17451       59.904568
0.000       2.3247786       98.156690       62.479125
0.000       2.3876104       97.594577       67.295549
0.000       2.4504423       92.010187       68.586652
0.000       2.5132741       89.930589       72.326471
0.000       2.5761060       84.644985       73.309907
0.000       2.6389378       82.972291       77.248636
0.000       2.7017697       79.512393       79.441979
0.000       2.7646015       77.190525       82.628885
0.000       2.8274334       75.063553       85.956064
0.000       2.8902652       71.981230       88.044579
0.000       2.9530971       71.027641       92.668222
0.000       3.0159289       68.054238       94.577701
0.000       3.0787608       66.148220       97.794913
0.000       3.1415927       63.517706       99.773380
0.000       3.2044245       62.540718       104.25173
0.000       3.2672564       59.365703       104.89517
0.000       3.3300882       57.884609       108.29305
0.000       3.3929201       56.292372       111.38859
0.000       3.4557519       54.715312       114.39494
0.000       3.5185838       52.514493       115.89191
0.000       3.5814156       51.693306       120.30086
0.000       3.6442475       49.635347       121.69841
0.000       3.7070793       48.922759       126.26321
0.000       3.7699112       47.932474       130.10484
0.000       3.8327430       46.889976       133.74556
0.000       3.8955749       45.374520       135.89297
0.000       3.9584067       44.217201       138.93855
