z,M500,f_b
0.0,99999999999.99918,0.675459583378501
0.0,125892541179.4156,0.6592030003484469
0.0,158489319246.1098,0.6850401883090748
0.0,199526231496.88583,0.7222167331556161
0.0,251188643150.9551,0.7512196267873744
0.0,316227766016.83405,0.7807856066164997
0.0,398107170553.49207,0.8127077729037058
0.0,501187233627.2653,0.8301126956231796
0.0,630957344480.184,0.7764402731329328
0.0,794328234724.2692,0.6858034660801223
0.0,999999999999.9836,0.6335773400539592
0.0,1258925411794.1455,0.5966502244868653
0.0,1584893192461.085,0.5580380956291531
0.0,1995262314968.842,0.5160144758416306
0.0,2511886431509.531,0.4636508168116371
0.0,3162277660168.3145,0.4130424753261995
0.0,3981071705534.888,0.378063288751971
0.0,5011872336272.612,0.3448822490042357
0.0,6309573444801.788,0.3231384837576538
0.0,7943282347242.627,0.3110545471430873
0.0,9999999999999.754,0.3084289653955134
0.0,12589254117941.354,0.3110357480469572
0.0,15848931924610.72,0.3247456834072713
0.0,19952623149688.258,0.3432912952904562
0.0,25118864315095.1,0.3698527942175155
0.0,31622776601682.887,0.4014379070788078
0.0,39810717055348.555,0.4334491372072315
0.0,50118723362725.71,0.4719564336844215
0.0,63095734448017.37,0.5180878810070573
0.0,79432823472425.61,0.5608091173740078
0.0,99999999999996.72,0.605033320005765
0.0,125892541179412.5,0.655956387206232
0.0,158489319246105.9,0.6839928875987412
0.0,199526231496880.97,0.7368840387353841
0.0,251188643150948.97,0.762951062519631
0.0,316227766016826.3,0.7969370210518935
0.0,398107170553482.25,0.8117762102945236
0.0,501187233627253.0,0.8390460620838079
0.0,630957344480168.5,0.8412726467463552
0.0,794328234724249.6,0.85738503514469
0.0,999999999999959.2,0.885049965450176
0.0,1258925411794114.8,0.9077231622661588
0.0,1584893192461046.0,0.9299174228540268
0.0,1995262314968792.8,0.9045429894378432
0.12,99999999999.99918,0.687367825029278
0.12,125892541179.4156,0.6956324875375194
0.12,158489319246.1098,0.7030688226645987
0.12,199526231496.88583,0.7419335334030321
0.12,251188643150.9551,0.7681637586967215
0.12,316227766016.83405,0.7952723845212964
0.12,398107170553.49207,0.8248114507012723
0.12,501187233627.2653,0.8422356965787664
0.12,630957344480.184,0.7791487983675588
0.12,794328234724.2692,0.6753899494716504
0.12,999999999999.9836,0.6266167376345898
